3連単,予想確率,標準化値,min-max処理値,予想確率[%]
1-3-4,0.10464608997915587,8.435786664780355,1.0,0.2123932451721275
1-3-2,0.06469983662616706,5.083572089642647,0.6182111719010497,0.1313038770017279
1-4-2,0.033041424497617086,2.4268575881535805,0.3156339074145332,0.06703850988213153
1-3-6,0.022649551863696892,1.5547911493170705,0.21631293131199988,0.045943405454051164
2-3-4,0.01832288439223792,1.1917053392053247,0.174960534908131,0.03716043578618924
1-2-4,0.01801767575057741,1.1660928030810627,0.17204348412503118,0.03654087390403477
1-4-3,0.017098285433433027,1.088939293986291,0.16325635336094382,0.03467454668529842
4-3-2,0.016298561685599358,1.0218279786926578,0.15561294335725012,0.03305113803043282
1-4-6,0.01156685235749935,0.6247518165102259,0.11038933394094903,0.023445948868107844
3-1-4,0.009951892005177003,0.48922737612063827,0.0949542488306884,0.0201676410520316
1-3-5,0.009679725388404057,0.4663876646826211,0.09235299927801603,0.019615153218036974
4-3-1,0.008035356856779663,0.3283953451051293,0.07663684364499478,0.016277147921509375
3-4-2,0.007698417221149263,0.3001200035475385,0.07341652189189617,0.015593173333870367
2-1-4,0.0074788325296229995,0.28169286854424075,0.07131782739593265,0.015147424799247794
4-1-2,0.006652566850881036,0.21235420424601265,0.06342074121872111,0.013470137038665885
3-1-2,0.006152984664639299,0.1704302052316367,0.05864595306177189,0.012456004287001997
5-3-4,0.005824062104975041,0.1428276416356286,0.055502255016304805,0.011788304057283969
1-2-3,0.005764647359431637,0.13784166775145212,0.05493439484998668,0.01166769439375568
4-3-6,0.0057056576562103,0.1328913626208505,0.05437059705238688,0.011547947549902559
2-3-1,0.0055850865547323065,0.12277326217865481,0.053218231168930666,0.011303192820289649
1-4-5,0.004943318750966796,0.06891731312064645,0.0470844950323741,0.01000042869721685
3-2-4,0.0041979904738469135,0.006370763592075764,0.039960973160220375,0.008487440769735493
1-5-4,0.004067014001967665,-0.004620535996246738,0.03870915729490163,0.00822156353574249
2-3-6,0.003965796719372684,-0.013114500298041218,0.03774176675231883,0.008016096319054504
1-2-6,0.003899737500534071,-0.018658065904962957,0.03711040161470101,0.007881998628587307
3-4-1,0.0037953980723936234,-0.027414034798545626,0.03611317096975804,0.007670193575722776
1-6-4,0.003712686354401259,-0.03435504686640051,0.03532264852442856,0.007502291948177843
5-3-2,0.003600859494775128,-0.043739346951268084,0.03425385628227822,0.007275287695452738
4-1-3,0.003442572123050021,-0.0570225259735491,0.032741014774470834,0.0069539703781784324
2-4-3,0.002993804234488668,-0.09468228453953198,0.028451887462623452,0.0060429887094587634
2-4-1,0.0028522361930696013,-0.10656240875606723,0.027098842005467826,0.005755610993948075
3-4-6,0.002694994442200453,-0.11975784123945664,0.025595994084736166,0.005436416247063694
1-5-2,0.0025145243509437846,-0.1349025524327974,0.023871139840235697,0.005070068856625321
4-3-5,0.002438423488673221,-0.1412887939015444,0.023143801064134325,0.004915587013629627
2-1-3,0.0023928076401386576,-0.14511679025863947,0.022707824723603574,0.0048229885838460326
5-1-4,0.0023772013288302987,-0.14642644259999232,0.022558666422004815,0.004791308368125109
4-1-6,0.0023288723090036517,-0.15048212319745402,0.022096758776255453,0.004693202304274584
