3連単,予想確率,標準化値,min-max処理値,予想確率[%]
3-2-1,0.04051503458204804,5.366909866002237,1.0,0.09457171975637571
3-2-5,0.03397483628397087,4.416593049571713,0.8385331220005492,0.07930151942027475
3-2-4,0.02728722766188607,3.444856926961878,0.673426922421293,0.06368714218362509
1-2-5,0.022758978705512967,2.7868843493581537,0.5616318072785611,0.05311448588421489
2-1-5,0.019187704726814452,2.2679640409271786,0.47346285069040084,0.04477619603054735
1-2-4,0.01827910009922101,2.1359401759409287,0.4510308775503051,0.04265476575315966
2-3-1,0.017570899974764975,2.033035882065523,0.4335465662369375,0.04100124436349863
4-2-1,0.01622388260235747,1.8373089021359914,0.4002908941883379,0.037856198266208535
2-1-4,0.015410795884737056,1.7191641692464474,0.3802171031726147,0.035957785327821505
1-2-3,0.015260005095481356,1.6972536680259183,0.37649432339400324,0.03560571564188396
2-3-5,0.014734491927823279,1.620894515333565,0.3635202564525928,0.03437873581900043
4-2-5,0.013604918791052774,1.456763047396762,0.33563292956221363,0.03174138335556906
2-1-3,0.012865448651738201,1.3493150960333509,0.31737661234870546,0.030014852040269664
2-3-4,0.01183415373531697,1.1994638442658707,0.29191561516453784,0.02760696174985069
3-1-5,0.009832673026955376,0.9086407394868453,0.24250230586926935,0.022933860110943446
4-2-3,0.009122163729815573,0.8054009136392561,0.22496098483127006,0.02127494721358116
3-1-4,0.007897209133514006,0.6274101403974893,0.19471884455640373,0.0184148959986735
2-5-1,0.007842957004077535,0.6195270902848037,0.1933794475586851,0.01828822692116272
5-2-1,0.006458629050184906,0.41837873451923047,0.15920263782676516,0.015056067249028615
2-5-4,0.0052822996579021874,0.24745339675440667,0.1301609748963424,0.012309547241113548
1-3-5,0.005058003585344394,0.21486228561429654,0.12462346900847154,0.011785855786136544
2-4-1,0.004967068466067781,0.20164905122687943,0.12237842854625511,0.011573538448702087
2-5-3,0.004409840706484342,0.12068164223107976,0.108621379818693,0.01027251069176428
3-1-2,0.0043538403541361565,0.11254456837841664,0.1072388220355155,0.01014175982454662
5-2-4,0.004349942758142345,0.11197823218373881,0.1071425967181564,0.010132659630799868
2-4-5,0.004165252225175235,0.08514196341712323,0.10258288730337896,0.009701440069855027
1-3-4,0.004062385884491959,0.07019507512097956,0.10004328435491183,0.009461265451520129
3-5-1,0.004019096232901378,0.0639049166259317,0.09897453313767884,0.009360191810914685
4-1-5,0.003937405817428947,0.052034974458051136,0.09695772940365609,0.009169459213377073
5-2-3,0.003631477933486085,0.007582436556963005,0.08940486662153599,0.00845517199098805
4-3-1,0.0036056299991639312,0.0038266289289960935,0.08876672308711746,0.008394821659486677
4-3-5,0.003023585940031454,-0.08074668706047405,0.07439700021283101,0.007035852254842878
