3連単,予想確率,標準化値,min-max処理値,予想確率[%]
1-2-6,0.02007350512467861,4.132321608148711,1.0,0.039708820705473824
1-4-6,0.016809049554918732,3.257401641069488,0.8327070247291607,0.0330658139451588
1-3-6,0.015804338114244577,2.988124856069957,0.7812187558257507,0.03102127550683807
3-2-6,0.013592960932514676,2.3954446955673636,0.6678927018262317,0.026521231547312327
1-4-2,0.012325915984689368,2.055858844159756,0.6029606742357404,0.023942857305678626
1-2-5,0.012146791188374792,2.007850881562137,0.5937810975866232,0.023578347142366677
1-6-2,0.011831956321247922,1.9234707128952082,0.5776468110217956,0.0229376736499532
1-3-2,0.011589170651995528,1.8584007417437136,0.5652048169145385,0.02244361673672957
3-4-6,0.01138240444275034,1.8029844920444713,0.5546087056822313,0.022022857655630626
1-2-3,0.010790049579394497,1.64422506448558,0.5242524011195566,0.02081744460047062
1-2-4,0.010288371638058574,1.5097683262827426,0.49854300068804464,0.019796554628290476
1-4-5,0.01017141818284768,1.478423156775521,0.49254950772349665,0.019558560090761724
1-6-5,0.009763799770669424,1.3691756941763846,0.4716603592908557,0.018729076640959953
3-1-6,0.009716074952866091,1.3563847723430007,0.46921461402216896,0.018631958980594412
1-3-5,0.009563451612055,1.3154795722370656,0.4613931527602712,0.018321377977690904
1-4-3,0.009035316799610303,1.1739320207868573,0.4343279217501035,0.017246649572155923
1-6-3,0.008673227519514107,1.0768870053925121,0.41577199666963915,0.01650981567011156
3-4-2,0.008346608795857883,0.9893485975808286,0.39903382490042344,0.01584516260839035
2-4-6,0.008322880050463964,0.9829889603625448,0.39781780209614154,0.015796875776881353
1-6-4,0.008269970157746536,0.9688083655879305,0.3951063382134793,0.01568920674371535
3-2-5,0.008225312771908619,0.9568395586269497,0.3928177890863756,0.015598331156751521
1-3-4,0.008100274615865592,0.9233275756849185,0.38640998089300016,0.01534388465008571
3-6-2,0.008012119409689697,0.8997007416119555,0.38189230668619056,0.015164493135001764
1-5-6,0.007827751185232927,0.850287466587956,0.3724440210055729,0.014789312852936021
