Date,会場,Round,着順結果,艇番,選手登番,選手名,モーターNo,ボートNo,展示タイム,進入順位,スタートタイム,レースタイム,試合タイプ,コース距離,天候,風向,風速,波高,決まり手
20151012,福岡,1,1,2,3925,大田誠,68,156,6.81,2,0.13,110.9,一般戦,1800,曇り,西,5,5,まくり
20151012,福岡,1,2,4,3079,新地雅洋,17,162,6.90,4,0.17,111.6,一般戦,1800,曇り,西,5,5,まくり
20151012,福岡,1,3,5,4873,蒲原健太,19,103,6.87,6,0.09,112.6,一般戦,1800,曇り,西,5,5,まくり
20151012,福岡,1,4,6,3893,汐崎正則,59,141,6.98,5,0.10,112.9,一般戦,1800,曇り,西,5,5,まくり
20151012,福岡,1,5,3,4381,田路朋史,73,142,6.84,3,0.16,NaN,一般戦,1800,曇り,西,5,5,まくり
20151012,福岡,1,6,1,3491,富永茂,37,147,6.85,1,0.21,NaN,一般戦,1800,曇り,西,5,5,まくり
20151012,福岡,2,1,5,3696,白井友晴,60,159,6.85,5,0.24,109.4,一般戦,1800,曇り,西,4,4,差し
20151012,福岡,2,2,4,4434,田中辰彦,54,119,6.85,4,0.17,110.7,一般戦,1800,曇り,西,4,4,差し
20151012,福岡,2,3,3,2014,高塚清一,13,121,6.89,3,0.16,112.5,一般戦,1800,曇り,西,4,4,差し
20151012,福岡,2,4,2,3601,田村勇一,26,150,6.90,2,0.22,113.8,一般戦,1800,曇り,西,4,4,差し
20151012,福岡,2,5,1,3291,河原順一,33,137,6.84,1,0.21,NaN,一般戦,1800,曇り,西,4,4,差し
20151012,福岡,2,6,6,4866,橋本英一,16,139,6.85,6,0.34,NaN,一般戦,1800,曇り,西,4,4,差し
20151012,福岡,3,1,3,3220,二橋学,67,113,6.91,3,0.01,110.9,一般戦,1800,曇り,西,4,4,恵まれ
20151012,福岡,3,2,1,3643,米田隆弘,48,152,6.84,1,0.11,112.0,一般戦,1800,曇り,西,4,4,恵まれ
20151012,福岡,3,3,2,3419,栗原謙治,29,157,6.90,2,0.14,114.3,一般戦,1800,曇り,西,4,4,恵まれ
20151012,福岡,3,4,5,3809,吉田光,57,111,6.90,5,0.07,114.6,一般戦,1800,曇り,西,4,4,恵まれ
20151012,福岡,3,5,6,2843,友永明夫,65,167,6.93,6,0.09,NaN,一般戦,1800,曇り,西,4,4,恵まれ
20151012,福岡,4,1,3,3612,馬袋義則,72,128,6.90,3,0.20,109.1,一般戦,1800,曇り,西,4,4,抜き
20151012,福岡,4,2,4,3798,稲毛正剛,46,116,6.74,4,0.22,110.4,一般戦,1800,曇り,西,4,4,抜き
20151012,福岡,4,3,2,2903,山崎毅,21,133,6.95,2,0.21,112.9,一般戦,1800,曇り,西,4,4,抜き
20151012,福岡,4,4,5,3616,中村真,63,114,6.91,5,0.26,113.5,一般戦,1800,曇り,西,4,4,抜き
20151012,福岡,4,5,1,3503,堂原洋史,35,104,6.91,1,0.11,NaN,一般戦,1800,曇り,西,4,4,抜き
20151012,福岡,4,6,6,4176,樋口喜彦,11,153,6.88,6,0.21,NaN,一般戦,1800,曇り,西,4,4,抜き
20151012,福岡,5,1,2,3747,國崎良春,45,135,6.89,2,0.16,109.5,一般戦,1800,雨,西,5,5,差し
20151012,福岡,5,2,1,3668,市川猛,58,131,6.90,1,0.18,111.3,一般戦,1800,雨,西,5,5,差し
20151012,福岡,5,3,4,3361,岡部浩,47,130,6.90,4,0.23,112.4,一般戦,1800,雨,西,5,5,差し
20151012,福岡,5,4,3,4271,川崎公靖,31,168,6.82,3,0.22,113.6,一般戦,1800,雨,西,5,5,差し
20151012,福岡,5,5,5,4381,田路朋史,73,142,6.85,5,0.28,NaN,一般戦,1800,雨,西,5,5,差し
20151012,福岡,5,6,6,3171,田川忠志,53,145,6.93,6,0.29,NaN,一般戦,1800,雨,西,5,5,差し
20151012,福岡,6,1,4,3872,岡田憲行,43,122,6.88,4,0.13,110.1,一般戦,1800,曇り,西,4,4,まくり
20151012,福岡,6,2,3,3892,草場康幸,41,146,6.78,3,0.18,111.0,一般戦,1800,曇り,西,4,4,まくり
20151012,福岡,6,3,1,4053,芦澤望,51,140,6.87,1,0.13,112.7,一般戦,1800,曇り,西,4,4,まくり
20151012,福岡,6,4,6,4323,山田佑樹,27,138,6.92,5,0.19,113.8,一般戦,1800,曇り,西,4,4,まくり
20151012,福岡,6,5,2,3655,本橋克洋,69,155,6.96,2,0.25,NaN,一般戦,1800,曇り,西,4,4,まくり
20151012,福岡,6,6,5,4866,橋本英一,16,139,6.83,6,0.34,NaN,一般戦,1800,曇り,西,4,4,まくり
20151012,福岡,7,1,2,3393,行谷吉範,71,148,6.83,2,0.17,110.2,一般戦,1800,曇り,西,5,5,抜き
20151012,福岡,7,2,4,4503,上野真之介,23,127,6.85,4,0.17,111.3,一般戦,1800,曇り,西,5,5,抜き
20151012,福岡,7,3,3,3491,富永茂,37,147,6.87,3,0.14,112.6,一般戦,1800,曇り,西,5,5,抜き
20151012,福岡,7,4,5,4368,山口隆史,28,108,6.83,5,0.16,113.4,一般戦,1800,曇り,西,5,5,抜き
20151012,福岡,7,5,1,3601,田村勇一,26,150,6.87,1,0.16,NaN,一般戦,1800,曇り,西,5,5,抜き
20151012,福岡,7,6,6,3467,森弘行,52,102,6.87,6,0.27,NaN,一般戦,1800,曇り,西,5,5,抜き
20151012,福岡,8,1,3,4028,田村隆信,25,154,6.90,3,0.02,111.4,一般戦,1800,曇り,北西,5,5,まくり
20151012,福岡,8,2,4,3809,吉田光,57,111,6.92,4,0.09,112.3,一般戦,1800,曇り,北西,5,5,まくり
20151012,福岡,8,3,5,3220,二橋学,67,113,6.94,5,0.12,113.6,一般戦,1800,曇り,北西,5,5,まくり
20151012,福岡,8,4,1,3925,大田誠,68,156,6.88,1,0.27,115.9,一般戦,1800,曇り,北西,5,5,まくり
20151012,福岡,8,5,2,3503,堂原洋史,35,104,6.99,2,0.14,NaN,一般戦,1800,曇り,北西,5,5,まくり
20151012,福岡,8,6,6,4873,蒲原健太,19,103,6.86,6,0.12,NaN,一般戦,1800,曇り,北西,5,5,まくり
20151012,福岡,9,1,1,3747,國崎良春,45,135,6.95,1,0.06,109.9,一般戦,1800,曇り,北西,5,5,逃げ
20151012,福岡,9,2,2,3612,馬袋義則,72,128,7.01,2,0.07,111.8,一般戦,1800,曇り,北西,5,5,逃げ
20151012,福岡,9,3,5,2903,山崎毅,21,133,7.01,5,0.13,112.9,一般戦,1800,曇り,北西,5,5,逃げ
20151012,福岡,9,4,4,3171,田川忠志,53,145,7.00,4,0.10,113.6,一般戦,1800,曇り,北西,5,5,逃げ
20151012,福岡,9,5,3,3291,河原順一,33,137,6.95,3,0.08,NaN,一般戦,1800,曇り,北西,5,5,逃げ
20151012,福岡,9,6,6,3643,米田隆弘,48,152,6.96,6,0.15,NaN,一般戦,1800,曇り,北西,5,5,逃げ
20151012,福岡,10,1,1,3872,岡田憲行,43,122,6.96,1,0.09,110.4,一般戦,1800,晴,西,6,6,逃げ
20151012,福岡,10,2,4,3892,草場康幸,41,146,6.89,4,0.15,111.4,一般戦,1800,晴,西,6,6,逃げ
