Date,会場,Round,着順結果,艇番,選手登番,選手名,モーターNo,ボートNo,展示タイム,進入順位,スタートタイム,レースタイム,試合タイプ,コース距離,天候,風向,風速,波高,決まり手
20150521,大村,1,1,1,4363,大野芳顕,68,76,6.88,1,0.10,110.5,一般戦,1800,晴,北西,1,1,逃げ
20150521,大村,1,2,5,3839,川合理司,13,69,6.92,5,0.05,112.0,一般戦,1800,晴,北西,1,1,逃げ
20150521,大村,1,3,2,3224,栗山繁洋,73,62,6.89,2,0.02,113.6,一般戦,1800,晴,北西,1,1,逃げ
20150521,大村,1,4,3,3460,堤健一,45,56,6.86,3,0.03,114.4,一般戦,1800,晴,北西,1,1,逃げ
20150521,大村,1,5,4,4340,土性雅也,43,35,6.95,4,0.16,NaN,一般戦,1800,晴,北西,1,1,逃げ
20150521,大村,1,6,6,4693,松下誉士,26,30,6.87,6,0.02,NaN,一般戦,1800,晴,北西,1,1,逃げ
20150521,大村,2,1,1,4532,秋元哲,72,72,6.90,1,0.13,110.1,一般戦,1800,晴,西,2,1,逃げ
20150521,大村,2,2,3,4410,井上大輔,29,18,6.80,3,0.21,112.1,一般戦,1800,晴,西,2,1,逃げ
20150521,大村,2,3,2,3607,原田智和,71,64,6.88,2,0.22,113.0,一般戦,1800,晴,西,2,1,逃げ
20150521,大村,2,4,5,4248,岡本大,31,40,6.88,5,0.28,114.2,一般戦,1800,晴,西,2,1,逃げ
20150521,大村,2,5,6,3753,河上哲也,38,34,6.89,6,0.26,NaN,一般戦,1800,晴,西,2,1,逃げ
20150521,大村,2,6,4,4249,曾根孝仁,35,32,6.84,4,0.31,NaN,一般戦,1800,晴,西,2,1,逃げ
20150521,大村,3,1,1,4314,青木幸太郎,33,61,6.83,1,0.07,109.6,一般戦,1800,晴,西,1,1,逃げ
20150521,大村,3,2,4,4004,山本浩輔,69,37,6.99,4,0.21,110.8,一般戦,1800,晴,西,1,1,逃げ
20150521,大村,3,3,5,3268,森竜也,74,17,6.91,5,0.31,113.2,一般戦,1800,晴,西,1,1,逃げ
20150521,大村,3,4,3,4120,柘植政浩,57,27,6.90,3,0.15,113.5,一般戦,1800,晴,西,1,1,逃げ
20150521,大村,3,5,2,4554,花本大樹,36,29,6.88,2,0.07,NaN,一般戦,1800,晴,西,1,1,逃げ
20150521,大村,3,6,6,3214,中西長松,32,55,6.82,6,0.31,NaN,一般戦,1800,晴,西,1,1,逃げ
20150521,大村,4,1,1,3445,加藤高史,66,25,6.89,1,0.16,109.6,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,4,2,4,4092,岡部大輔,12,33,6.92,4,0.17,111.1,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,4,3,2,4739,中村晃朋,37,47,6.88,2,0.18,112.3,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,4,4,3,4038,田中健太郎,48,44,6.93,3,0.25,113.5,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,4,5,5,4073,大橋純一郎,61,59,6.93,5,0.16,NaN,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,4,6,6,3819,大内裕樹,28,26,6.78,6,0.19,NaN,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,5,1,1,3868,尾形栄治,49,28,6.80,1,0.11,109.6,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,5,2,5,4410,井上大輔,29,18,6.87,5,0.18,111.5,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,5,3,4,4057,松井賢治,51,71,6.89,4,0.15,112.8,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,5,4,3,3498,白石浩二,23,38,6.94,3,0.19,114.4,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,5,5,6,4753,森照夫,55,74,6.88,6,0.12,NaN,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,5,6,2,4249,曾根孝仁,35,32,6.83,2,0.23,NaN,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,6,1,1,4003,表憲一,18,41,6.91,1,0.13,110.1,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,6,2,2,4120,柘植政浩,57,27,6.83,2,0.19,111.2,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,6,3,4,3224,栗山繁洋,73,62,6.90,4,0.22,112.6,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,6,4,3,3753,河上哲也,38,34,6.94,3,0.21,114.6,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,6,5,5,3527,中嶋誠一郎,54,14,6.98,5,0.21,NaN,一般戦,1800,晴,北西,3,2,逃げ
20150521,大村,6,6,6,3571,寺本武司,46,24,7.00,6,0.15,NaN,一般戦,1800,晴,北西,3,2,逃げ
