Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率
20150204,1,大村,1,4289,落合直子,30,大阪,46,A2,5.52,37.50,6.00,37.50,48.43,45.74
20150204,1,大村,2,4569,中澤宏奈,26,東京,50,B1,4.93,30.49,3.70,15.00,32.03,31.75
20150204,1,大村,3,4088,野田祥子,34,長崎,46,B1,4.35,19.81,3.55,9.80,31.14,39.02
20150204,1,大村,4,4687,宮地佐季,22,広島,43,B2,3.67,0.00,3.21,14.75,38.46,30.37
20150204,1,大村,5,3766,清水久美,41,東京,51,B2,3.47,8.62,3.83,16.67,33.19,32.58
20150204,1,大村,6,4714,喜多須杏,24,徳島,49,B1,3.22,12.33,5.27,33.33,37.78,52.99
20150204,2,大村,1,4399,松本晶恵,27,群馬,47,A1,7.32,59.52,6.14,48.28,32.05,33.33
20150204,2,大村,2,4240,今井裕梨,30,群馬,45,B1,5.21,36.73,4.36,20.00,40.27,31.11
20150204,2,大村,3,4611,今井美亜,24,福井,44,A2,6.25,47.25,5.96,39.29,40.18,38.46
20150204,2,大村,4,3943,三松直美,36,岡山,62,B1,5.03,26.44,4.44,25.00,31.36,34.31
20150204,2,大村,5,3871,池田紫乃,39,長崎,44,B1,4.96,31.48,5.91,37.78,35.02,35.51
20150204,2,大村,6,4408,仁科さや,29,長崎,47,B1,4.30,30.14,5.24,31.73,35.59,30.89
20150204,3,大村,1,4499,滝川真由,27,長崎,46,A1,5.84,40.38,5.36,37.68,33.33,36.22
20150204,3,大村,2,2983,鵜飼菜穂,55,愛知,44,B1,4.78,27.54,4.39,22.22,37.82,34.31
20150204,3,大村,3,4354,古川舞,31,東京,45,B1,4.30,22.22,4.27,18.18,33.64,42.97
20150204,3,大村,4,4464,山下友貴,28,静岡,47,A2,5.23,31.85,4.96,33.33,45.93,33.08
20150204,3,大村,5,4317,木村沙友,30,静岡,49,A2,4.80,30.56,4.20,20.00,39.39,30.60
20150204,3,大村,6,4823,中村桃佳,21,香川,45,B1,3.79,13.70,0.00,0.00,34.60,50.00
20150204,4,大村,1,3232,山川美由,48,香川,47,A2,6.88,48.44,6.18,45.45,33.47,36.80
20150204,4,大村,2,4014,片岡恵里,35,山口,48,A2,5.36,33.60,4.47,31.58,40.09,37.93
20150204,4,大村,3,4479,矢野真梨,26,福岡,46,B1,4.64,26.61,4.58,20.00,32.26,34.81
20150204,4,大村,4,4484,稲生夏季,24,東京,48,B1,4.35,19.44,5.56,22.22,34.40,33.59
20150204,4,大村,5,4225,土屋千明,32,群馬,46,B1,5.21,28.17,4.29,0.00,32.90,36.43
20150204,4,大村,6,4190,長嶋万記,33,静岡,49,A1,7.14,56.45,7.35,50.00,34.24,40.31
20150204,5,大村,1,4530,小野生奈,26,福岡,45,A1,6.49,49.26,6.33,38.89,28.32,29.63
20150204,5,大村,2,3142,西茂登子,52,徳島,51,B1,4.45,25.88,0.00,0.00,36.84,38.52
20150204,5,大村,3,4244,鈴木成美,28,静岡,43,B1,4.57,25.81,3.22,0.00,44.20,41.13
20150204,5,大村,4,4071,古賀千晶,34,兵庫,48,B1,5.13,30.61,8.14,71.43,43.18,30.53
20150204,5,大村,5,3177,宮本紀美,50,東京,50,B1,4.51,20.00,5.30,30.00,34.57,40.63
20150204,5,大村,6,4714,喜多須杏,24,徳島,49,B1,3.22,12.33,5.27,33.33,37.78,52.99
20150204,6,大村,1,4088,野田祥子,34,長崎,46,B1,4.35,19.81,3.55,9.80,31.14,39.02
20150204,6,大村,2,3999,大瀧明日,35,愛知,44,A1,6.81,52.38,5.82,41.18,30.94,31.30
20150204,6,大村,3,4433,川野芽唯,28,福岡,46,A2,6.39,42.31,4.27,27.03,39.83,35.77
20150204,6,大村,4,3324,登みつよ,47,兵庫,45,B2,3.35,6.45,4.32,25.81,34.63,31.06
20150204,6,大村,5,3943,三松直美,36,岡山,62,B1,5.03,26.44,4.44,25.00,31.36,34.31
20150204,6,大村,6,4098,赤澤文香,32,岡山,49,B1,4.68,24.78,0.00,0.00,35.15,44.53
20150204,7,大村,1,3328,糸數由里,47,東京,46,B2,3.48,15.87,3.00,16.67,37.39,36.92
