Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率
20151029,1,唐津,1,3710,吉永泰弘,41,香川,54,A2,4.68,30.70,5.23,34.62,32.65,30.08
20151029,1,唐津,2,4718,北川太一,22,佐賀,49,B1,5.26,33.72,4.97,32.00,40.98,36.30
20151029,1,唐津,3,4563,齋藤真之,27,岡山,52,B1,3.93,17.65,0.00,0.00,20.41,31.20
20151029,1,唐津,4,3989,熊本英一,37,佐賀,56,B1,4.28,20.00,4.39,22.88,33.33,26.23
20151029,1,唐津,5,4340,土性雅也,31,三重,56,B1,3.64,18.18,5.63,37.50,19.23,36.45
20151029,1,唐津,6,4805,今林由喜,28,福岡,53,B2,2.27,4.17,1.88,0.00,26.53,29.46
20151029,2,唐津,1,4515,藤田浩人,29,佐賀,53,A2,4.77,27.88,5.57,32.37,41.67,34.09
20151029,2,唐津,2,3853,岩崎正哉,43,福岡,57,A1,6.15,40.27,7.16,53.57,28.00,39.52
20151029,2,唐津,3,4527,高野心吾,27,愛知,50,B1,4.41,22.35,3.10,10.00,25.49,35.07
20151029,2,唐津,4,4796,春園功太,24,三重,52,B1,3.27,20.41,0.00,0.00,23.64,33.33
20151029,2,唐津,5,4879,山崎鉄平,20,佐賀,53,B2,1.65,0.00,1.72,0.00,12.96,26.87
20151029,2,唐津,6,3599,柿本達也,45,長崎,54,B2,2.36,3.13,2.60,4.76,43.33,39.37
20151029,3,唐津,1,4410,井上大輔,29,岡山,50,A2,6.11,46.36,6.14,37.84,28.81,26.77
20151029,3,唐津,2,3601,田村勇一,45,山口,49,B1,4.35,21.50,4.28,27.59,18.60,36.29
20151029,3,唐津,3,3256,三角哲男,48,東京,50,A1,7.46,59.84,7.95,65.00,28.07,38.40
20151029,3,唐津,4,3791,川俣昌史,43,群馬,52,B1,3.90,14.89,0.00,0.00,28.57,45.54
20151029,3,唐津,5,3905,天野友和,38,愛知,56,B1,4.54,21.21,5.79,36.84,19.64,35.25
20151029,3,唐津,6,4789,古賀智之,26,福岡,52,B2,2.89,8.06,2.06,6.25,50.00,40.94
20151029,4,唐津,1,4311,岡村仁,31,大阪,54,A1,6.13,40.21,0.00,0.00,26.53,35.59
20151029,4,唐津,2,3567,吉岡誠,45,山口,55,B1,4.14,17.24,4.32,19.35,21.43,37.50
20151029,4,唐津,3,4147,石田一吉,33,愛知,61,B1,3.28,10.13,4.37,15.79,35.59,42.74
20151029,4,唐津,4,4006,小野勇作,37,佐賀,50,A1,6.31,48.18,6.05,44.27,18.52,32.23
20151029,4,唐津,5,3593,横井光弘,47,長崎,55,B1,3.94,14.29,3.69,13.33,33.33,31.34
20151029,4,唐津,6,3777,樋口亮,40,長崎,51,A1,6.45,48.53,6.65,56.52,32.76,39.52
20151029,5,唐津,1,4563,齋藤真之,27,岡山,52,B1,3.93,17.65,0.00,0.00,20.41,31.20
20151029,5,唐津,2,3541,三嶌誠司,47,香川,53,A1,6.70,52.50,9.40,90.00,30.36,36.51
20151029,5,唐津,3,3710,吉永泰弘,41,香川,54,A2,4.68,30.70,5.23,34.62,32.65,30.08
20151029,5,唐津,4,3070,山室展弘,54,岡山,50,A1,6.68,49.46,6.58,50.75,16.98,30.30
20151029,5,唐津,5,3430,角浜修,47,広島,55,B1,5.25,29.36,6.38,53.85,56.90,37.40
20151029,5,唐津,6,3575,田野邊秀,43,埼玉,54,B1,4.64,22.97,5.37,36.84,34.48,32.03
20151029,6,唐津,1,4527,高野心吾,27,愛知,50,B1,4.41,22.35,3.10,10.00,25.49,35.07
20151029,6,唐津,2,4256,渡辺浩司,31,福岡,52,A1,6.99,54.46,7.55,61.29,39.66,43.18
