Date,会場,Round,着順結果,艇番,選手登番,選手名,モーターNo,ボートNo,展示タイム,進入順位,スタートタイム,レースタイム,試合タイプ,コース距離,天候,風向,風速,波高,決まり手
20151019,大村,1,1,2,4317,木村沙友希,41,44,7.03,2,0.10,109.8,一般戦,1800,晴,西,1,1,まくり
20151019,大村,1,2,1,4347,魚谷香織,59,32,7.02,1,0.29,110.9,一般戦,1800,晴,西,1,1,まくり
20151019,大村,1,3,4,3169,松堂留美,18,41,6.91,4,0.20,112.9,一般戦,1800,晴,西,1,1,まくり
20151019,大村,1,4,6,4765,野田部宏子,31,39,6.92,6,0.11,114.7,一般戦,1800,晴,西,1,1,まくり
20151019,大村,1,5,3,4088,野田祥子,56,38,6.88,3,0.17,NaN,一般戦,1800,晴,西,1,1,まくり
20151019,大村,1,6,5,4738,清埜翔子,26,51,6.96,5,0.15,NaN,一般戦,1800,晴,西,1,1,まくり
20151019,大村,2,1,1,4611,今井美亜,50,13,7.01,1,0.01,108.5,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,2,2,2,3175,渡辺千草,68,14,6.89,2,0.06,110.2,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,2,3,4,4730,土屋実沙希,14,73,6.85,4,0.08,110.9,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,2,4,3,3704,本部めぐみ,35,46,6.82,3,0.13,112.3,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,2,5,6,3943,三松直美,11,70,7.04,6,0.08,NaN,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,2,6,5,4275,菅野はやか,55,58,6.97,5,0.07,NaN,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,3,1,1,3518,倉田郁美,28,25,6.87,1,0.11,109.7,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,3,2,4,4399,松本晶恵,48,53,6.95,4,0.13,110.8,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,3,3,5,3486,渋田治代,65,75,6.86,5,0.17,111.1,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,3,4,3,3225,松村昌子,70,61,6.91,3,0.34,112.9,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,3,5,6,4854,大橋由珠,15,67,6.85,6,0.07,NaN,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,3,6,2,3177,宮本紀美,23,17,6.86,2,0.23,NaN,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,4,1,1,3845,中谷朋子,21,66,6.93,1,0.16,109.3,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,4,2,3,4605,森世里,24,11,6.94,3,0.08,110.9,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,4,3,5,3128,鳥居智恵,61,72,7.01,5,0.10,111.5,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,4,4,2,3693,栢場優子,49,30,6.86,2,0.19,112.4,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,4,5,6,4499,滝川真由子,62,34,6.92,6,0.09,NaN,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,4,6,4,3298,定野久恵,44,49,6.92,4,0.07,NaN,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,5,1,1,3470,新田芳美,46,71,6.96,1,0.21,110.6,一般戦,1800,晴,北西,1,1,逃げ
20151019,大村,5,2,5,3604,武藤綾子,33,68,6.94,5,0.20,112.9,一般戦,1800,晴,北西,1,1,逃げ
20151019,大村,5,3,3,3551,藤田美代,73,76,6.97,3,0.21,114.2,一般戦,1800,晴,北西,1,1,逃げ
20151019,大村,5,4,6,4730,土屋実沙希,14,73,6.88,6,0.15,114.6,一般戦,1800,晴,北西,1,1,逃げ
20151019,大村,5,5,4,3355,橋谷田佳織,71,63,6.92,4,0.24,NaN,一般戦,1800,晴,北西,1,1,逃げ
20151019,大村,5,6,2,3139,松尾美和子,16,60,6.96,2,0.23,NaN,一般戦,1800,晴,北西,1,1,逃げ
20151019,大村,6,1,6,3117,長田光子,12,28,6.93,1,0.08,110.7,一般戦,1800,晴,南西,1,1,逃げ
20151019,大村,6,2,1,3650,太田雅美,53,54,6.91,2,0.11,111.5,一般戦,1800,晴,南西,1,1,逃げ
20151019,大村,6,3,2,3188,日高逸子,52,22,6.89,3,0.12,112.7,一般戦,1800,晴,南西,1,1,逃げ
20151019,大村,6,4,5,3676,八島貴美子,57,29,6.98,5,0.21,113.9,一般戦,1800,晴,南西,1,1,逃げ
20151019,大村,6,5,3,4738,清埜翔子,26,51,6.98,6,0.19,NaN,一般戦,1800,晴,南西,1,1,逃げ
20151019,大村,6,6,4,3289,高橋淳美,27,33,6.92,4,0.13,NaN,一般戦,1800,晴,南西,1,1,逃げ
20151019,大村,7,1,1,3993,永井聖美,47,31,6.98,1,0.17,110.1,一般戦,1800,晴,南西,1,1,逃げ
20151019,大村,7,2,2,3932,池田浩美,63,21,6.89,2,0.21,111.6,一般戦,1800,晴,南西,1,1,逃げ
20151019,大村,7,3,4,4275,菅野はやか,55,58,6.92,4,0.26,112.5,一般戦,1800,晴,南西,1,1,逃げ
20151019,大村,7,4,6,3225,松村昌子,70,61,6.94,6,0.34,113.0,一般戦,1800,晴,南西,1,1,逃げ
20151019,大村,7,5,5,4088,野田祥子,56,38,6.92,5,0.32,NaN,一般戦,1800,晴,南西,1,1,逃げ
20151019,大村,7,6,3,3298,定野久恵,44,49,6.92,3,0.26,NaN,一般戦,1800,晴,南西,1,1,逃げ
20151019,大村,8,1,5,4765,野田部宏子,31,39,6.85,5,0.02,109.7,一般戦,1800,晴,南西,1,1,抜き
20151019,大村,8,2,4,3604,武藤綾子,33,68,6.87,4,0.10,111.3,一般戦,1800,晴,南西,1,1,抜き
20151019,大村,8,3,1,3232,山川美由紀,22,59,6.97,1,0.12,111.7,一般戦,1800,晴,南西,1,1,抜き
20151019,大村,8,4,6,4605,森世里,24,11,6.87,6,0.07,113.7,一般戦,1800,晴,南西,1,1,抜き
20151019,大村,8,5,2,3169,松堂留美,18,41,6.85,2,0.17,NaN,一般戦,1800,晴,南西,1,1,抜き
20151019,大村,8,6,3,3177,宮本紀美,23,17,6.82,3,0.13,NaN,一般戦,1800,晴,南西,1,1,抜き
20151019,大村,9,1,2,4347,魚谷香織,59,32,6.92,2,0.21,109.0,一般戦,1800,晴,西,1,1,差し
20151019,大村,9,2,1,4399,松本晶恵,48,53,7.01,1,0.19,110.4,一般戦,1800,晴,西,1,1,差し
20151019,大村,9,3,6,3355,橋谷田佳織,71,63,6.93,6,0.23,112.8,一般戦,1800,晴,西,1,1,差し
20151019,大村,9,4,4,3551,藤田美代,73,76,6.91,4,0.19,114.4,一般戦,1800,晴,西,1,1,差し
20151019,大村,9,5,3,3943,三松直美,11,70,6.96,3,0.16,NaN,一般戦,1800,晴,西,1,1,差し
20151019,大村,9,6,5,4244,鈴木成美,34,52,6.96,5,0.16,NaN,一般戦,1800,晴,西,1,1,差し
20151019,大村,10,1,1,4499,滝川真由子,62,34,6.93,1,0.06,108.6,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,10,2,2,3993,永井聖美,47,31,6.95,2,0.05,110.3,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,10,3,3,3518,倉田郁美,28,25,6.85,3,0.15,111.6,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,10,4,6,3175,渡辺千草,68,14,6.94,6,0.11,113.4,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,10,5,4,3470,新田芳美,46,71,6.99,4,0.11,NaN,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,10,6,5,4317,木村沙友希,41,44,7.00,5,0.08,NaN,一般戦,1800,晴,西,1,1,逃げ
20151019,大村,11,1,2,3845,中谷朋子,21,66,6.89,2,0.21,109.8,一般戦,1800,晴,西,1,1,差し
20151019,大村,11,2,5,3704,本部めぐみ,35,46,6.84,5,0.14,111.9,一般戦,1800,晴,西,1,1,差し
20151019,大村,11,3,4,3232,山川美由紀,22,59,6.89,4,0.14,112.5,一般戦,1800,晴,西,1,1,差し
20151019,大村,11,4,3,3486,渋田治代,65,75,6.87,3,0.22,114.2,一般戦,1800,晴,西,1,1,差し
20151019,大村,11,4,6,3932,池田浩美,63,21,6.92,6,0.19,114.2,一般戦,1800,晴,西,1,1,差し
20151019,大村,11,6,1,3188,日高逸子,52,22,6.91,1,0.18,NaN,一般戦,1800,晴,西,1,1,差し
20151019,大村,12,1,1,3618,海野ゆかり,25,24,6.92,1,0.16,109.4,優勝戦,1800,晴,北西,1,1,逃げ
20151019,大村,12,2,2,3611,岩崎芳美,40,50,6.85,2,0.17,109.6,優勝戦,1800,晴,北西,1,1,逃げ
20151019,大村,12,3,3,3871,池田紫乃,69,15,6.90,3,0.16,111.0,優勝戦,1800,晴,北西,1,1,逃げ
20151019,大村,12,4,4,3302,谷川里江,60,16,6.87,4,0.24,112.6,優勝戦,1800,晴,北西,1,1,逃げ
20151019,大村,12,5,5,3802,森岡真希,30,55,6.96,5,0.15,NaN,優勝戦,1800,晴,北西,1,1,逃げ
20151019,大村,12,6,6,4208,三浦永理,66,20,6.96,6,0.14,NaN,優勝戦,1800,晴,北西,1,1,逃げ
20151019,唐津,1,1,1,3422,服部幸男,40,48,6.72,1,0.16,108.6,一般戦,1800,晴,無風,0,0,逃げ
20151019,唐津,1,2,2,3949,今出晋二,18,39,6.82,2,0.13,110.7,一般戦,1800,晴,無風,0,0,逃げ
20151019,唐津,1,3,3,3273,石田豪,24,59,6.83,3,0.13,111.2,一般戦,1800,晴,無風,0,0,逃げ
20151019,唐津,1,4,5,3948,大町利克,54,87,6.84,5,0.16,112.1,一般戦,1800,晴,無風,0,0,逃げ
20151019,唐津,1,5,6,4656,大崎翔,49,86,6.83,6,0.11,112.4,一般戦,1800,晴,無風,0,0,逃げ
20151019,唐津,1,6,4,4091,荒田泰明,51,45,6.95,4,0.16,115.3,一般戦,1800,晴,無風,0,0,逃げ
20151019,唐津,2,1,1,3501,川上昇平,28,77,6.73,1,0.13,108.8,一般戦,1800,晴,無風,0,0,逃げ
20151019,唐津,2,2,3,3508,久富政弘,61,34,6.84,3,0.17,109.9,一般戦,1800,晴,無風,0,0,逃げ
20151019,唐津,2,3,2,3940,飯山泰,39,41,6.70,2,0.36,111.6,一般戦,1800,晴,無風,0,0,逃げ
20151019,唐津,2,4,6,4038,田中健太郎,63,64,6.82,6,0.19,111.8,一般戦,1800,晴,無風,0,0,逃げ
20151019,唐津,2,5,5,4406,幸野史明,25,75,6.76,5,0.15,113.3,一般戦,1800,晴,無風,0,0,逃げ
20151019,唐津,2,6,4,3569,増田進,16,43,6.82,4,0.24,114.9,一般戦,1800,晴,無風,0,0,逃げ
20151019,唐津,3,1,1,3965,北中元樹,27,58,6.88,1,0.04,109.1,一般戦,1800,晴,北,3,3,逃げ
20151019,唐津,3,2,5,4521,小池公生,29,62,6.78,5,0.08,109.9,一般戦,1800,晴,北,3,3,逃げ
20151019,唐津,3,3,6,3578,塩田雄一,62,67,6.82,6,0.06,111.2,一般戦,1800,晴,北,3,3,逃げ
20151019,唐津,3,4,3,4448,青木玄太,68,31,6.83,3,0.13,112.2,一般戦,1800,晴,北,3,3,逃げ
20151019,唐津,3,5,4,2844,田中伸二,17,49,6.89,4,0.16,114.6,一般戦,1800,晴,北,3,3,逃げ
20151019,唐津,3,6,2,4436,渋谷明憲,31,56,6.87,2,0.29,115.2,一般戦,1800,晴,北,3,3,逃げ
20151019,唐津,4,1,1,4288,永田啓二,48,85,6.87,1,0.09,109.4,一般戦,1800,晴,北東,3,3,逃げ
