Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率
20151127,1,唐津,1,3300,川崎智幸,48,岡山,52,A1,7.08,56.21,6.32,46.34,35.71,32.17
20151127,1,唐津,2,4652,酒見峻介,30,佐賀,48,B1,4.00,15.05,3.98,18.48,34.57,36.94
20151127,1,唐津,3,3235,鈴木唯由,53,群馬,49,B1,3.92,18.07,4.29,14.29,41.25,28.77
20151127,1,唐津,4,3135,山口博司,57,長崎,51,B1,4.70,32.47,4.15,23.40,45.00,34.21
20151127,1,唐津,5,4607,鶴田勇雄,26,福岡,51,B1,5.37,33.73,6.00,47.06,27.27,42.07
20151127,1,唐津,6,4591,坂井田晃,35,三重,49,B1,3.21,10.64,0.00,0.00,20.27,34.87
20151127,2,唐津,1,4191,赤羽克也,34,埼玉,54,A2,5.48,37.50,5.69,27.59,23.81,32.89
20151127,2,唐津,2,4101,三井所尊,36,佐賀,52,A1,6.85,53.57,7.68,63.29,31.17,30.41
20151127,2,唐津,3,4185,藤原真也,35,香川,50,B1,3.70,10.14,3.50,12.50,22.97,31.54
20151127,2,唐津,4,3181,林慎一,51,愛知,62,B1,3.73,8.79,5.63,37.50,43.04,27.46
20151127,2,唐津,5,2904,河野武士,56,岡山,56,B1,3.55,14.61,3.92,25.64,41.77,28.28
20151127,2,唐津,6,4336,松田竜馬,31,福岡,54,B1,5.76,39.18,5.29,29.41,21.62,27.97
20151127,3,唐津,1,4624,高田明,30,佐賀,47,A2,6.71,54.00,6.04,42.52,27.85,38.89
20151127,3,唐津,2,3723,白井弘文,45,山口,55,B1,4.26,25.26,2.82,5.88,16.13,35.29
20151127,3,唐津,3,3872,岡田憲行,39,大阪,53,A1,6.67,49.26,6.42,55.00,32.53,30.71
20151127,3,唐津,4,3775,泉啓文,41,岡山,59,B1,4.96,27.17,4.84,31.58,23.08,32.89
20151127,3,唐津,5,3843,上之晃弘,39,長崎,52,B1,5.51,31.82,4.93,32.14,48.19,27.78
20151127,3,唐津,6,4325,新出浩司,32,大阪,52,B1,4.70,28.89,4.44,11.11,35.44,40.18
20151127,4,唐津,1,4108,吉村正明,35,山口,50,A1,7.40,59.09,7.45,63.64,27.16,25.00
20151127,4,唐津,2,4020,川上清人,35,香川,60,B1,4.17,25.00,5.37,40.74,18.57,31.97
20151127,4,唐津,3,3964,宮地博士,36,長崎,56,B1,4.41,20.00,4.79,21.43,18.31,33.09
20151127,4,唐津,4,4509,平見真彦,26,愛知,53,A2,5.88,41.59,4.25,12.50,10.96,36.84
20151127,4,唐津,5,3326,生方厚成,48,群馬,51,A2,6.25,47.17,0.00,0.00,25.71,39.33
20151127,4,唐津,6,4728,山口亮,28,東京,51,B1,4.03,17.57,0.00,0.00,27.50,26.76
20151127,5,唐津,1,4142,平野和明,34,愛知,52,A2,5.54,36.72,5.04,25.00,38.27,35.26
20151127,5,唐津,2,3642,大塚浩二,44,静岡,50,B1,4.22,16.22,0.00,0.00,23.53,33.54
20151127,5,唐津,3,4601,森野正弘,30,山口,54,A1,6.33,42.72,6.59,58.62,56.10,30.87
20151127,5,唐津,4,4697,國弘翔平,29,福岡,49,B1,3.87,14.29,2.75,4.55,24.64,31.08
20151127,5,唐津,5,3686,鳥居塚孝,40,群馬,52,A2,6.10,45.45,6.54,56.10,45.57,32.59
