Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率
20150508,1,芦屋,1,3853,岩崎正哉,42,福岡,56,A1,6.60,42.71,6.87,52.50,30.77,0.00
20150508,1,芦屋,2,4299,中島浩哉,32,長崎,57,B1,4.35,22.83,5.89,42.86,39.66,0.00
20150508,1,芦屋,3,3851,森田昭彦,42,福岡,58,B1,4.73,25.88,4.76,26.19,32.74,30.00
20150508,1,芦屋,4,3539,金子順一,47,山口,51,B1,4.37,25.25,4.10,20.51,31.23,45.45
20150508,1,芦屋,5,4695,尾崎雄二,29,長崎,53,B2,2.54,5.56,1.59,0.00,27.73,47.37
20150508,1,芦屋,6,4332,村上彰一,31,福岡,54,B1,5.09,31.17,3.96,18.87,36.07,81.82
20150508,2,芦屋,1,3747,國崎良春,40,福岡,51,A2,6.37,49.17,6.09,38.81,42.34,0.00
20150508,2,芦屋,2,4487,三原司,28,福岡,51,B1,4.17,20.00,4.65,25.76,38.08,0.00
20150508,2,芦屋,3,4368,山口隆史,29,福岡,50,B1,5.60,36.26,5.07,32.89,34.39,22.22
20150508,2,芦屋,4,4566,塩田北斗,27,福岡,54,A1,5.99,42.25,6.45,48.44,33.90,40.00
20150508,2,芦屋,5,3593,横井光弘,46,長崎,56,B1,4.66,20.90,4.72,25.00,40.09,30.00
20150508,2,芦屋,6,4741,中村直喜,22,福岡,50,B2,1.98,1.96,1.65,2.17,27.15,36.36
20150508,3,芦屋,1,3473,石川真二,45,福岡,52,A1,6.77,50.00,6.54,46.15,29.41,58.33
20150508,3,芦屋,2,4607,鶴田勇雄,26,福岡,51,B1,4.63,23.44,4.91,27.67,42.50,81.82
20150508,3,芦屋,3,4351,里岡右貴,29,福岡,53,A1,6.02,42.53,5.96,41.30,38.43,20.00
20150508,3,芦屋,4,3523,寳田亮治,46,福岡,53,B1,5.49,37.14,6.33,48.57,37.50,36.84
20150508,3,芦屋,5,4314,青木幸太,30,福岡,52,A2,5.67,34.82,6.36,45.45,39.38,22.22
20150508,3,芦屋,6,4855,江頭賢太,19,長崎,54,B2,1.47,0.00,1.00,0.00,29.92,20.00
20150508,4,芦屋,1,4371,西山貴浩,27,福岡,51,A1,7.07,50.76,7.63,61.47,27.12,40.00
20150508,4,芦屋,2,4549,小林文彦,26,福岡,53,B1,4.98,27.27,5.08,29.41,31.82,11.11
20150508,4,芦屋,3,4425,大井清貴,29,山口,53,B1,4.08,20.51,4.55,25.00,43.58,0.00
20150508,4,芦屋,4,4180,上野秀和,32,福岡,54,A2,5.57,32.73,5.91,46.75,40.86,30.00
20150508,4,芦屋,5,4679,植田太一,25,福岡,55,B1,4.21,22.62,3.56,15.07,42.86,30.00
20150508,4,芦屋,6,4848,仲谷颯仁,20,福岡,48,B2,3.59,17.39,3.00,11.11,32.47,0.00
20150508,5,芦屋,1,3898,平田忠則,38,福岡,52,A1,7.47,58.68,7.67,57.60,38.87,30.00
20150508,5,芦屋,2,4614,石倉洋行,35,福岡,52,A2,5.59,37.50,3.70,14.81,48.15,38.10
20150508,5,芦屋,3,3539,金子順一,47,山口,51,B1,4.37,25.25,4.10,20.51,31.23,45.45
20150508,5,芦屋,4,4299,中島浩哉,32,長崎,57,B1,4.35,22.83,5.89,42.86,39.66,0.00
20150508,5,芦屋,5,4831,羽野直也,20,福岡,55,B2,4.06,8.82,3.13,0.00,43.20,63.64
20150508,5,芦屋,6,4551,三川昂暁,26,福岡,52,B1,4.71,27.40,4.54,23.61,32.27,15.79
20150508,6,芦屋,1,3726,桂林寛,43,福岡,51,A2,5.78,34.88,5.86,40.00,32.37,45.45
20150508,6,芦屋,2,3851,森田昭彦,42,福岡,58,B1,4.73,25.88,4.76,26.19,32.74,30.00
20150508,6,芦屋,3,3574,大神康司,42,福岡,50,A1,6.65,55.12,6.66,51.24,30.64,63.64
20150508,6,芦屋,4,4487,三原司,28,福岡,51,B1,4.17,20.00,4.65,25.76,38.08,0.00
20150508,6,芦屋,5,4729,佐藤謙史,26,福岡,53,B2,2.58,3.13,1.36,0.00,34.76,60.00
