Date,会場,Round,着順結果,艇番,選手登番,選手名,モーターNo,ボートNo,展示タイム,進入順位,スタートタイム,レースタイム,試合タイプ,コース距離,天候,風向,風速,波高,決まり手
20160127,大村,1,1,6,3010,大嶋一也,27,59,6.78,2,0.02,107.7,一般戦,1800,曇り,南,2,1,まくり
20160127,大村,1,2,2,4602,三上泰教,18,12,6.91,3,0.06,111.0,一般戦,1800,曇り,南,2,1,まくり
20160127,大村,1,3,4,4855,江頭賢太,26,30,6.79,5,0.07,112.1,一般戦,1800,曇り,南,2,1,まくり
20160127,大村,1,4,3,4695,尾崎雄二,56,11,6.81,4,0.04,112.9,一般戦,1800,曇り,南,2,1,まくり
20160127,大村,1,5,1,3762,豊田光紀,30,48,6.85,1,0.23,NaN,一般戦,1800,曇り,南,2,1,まくり
20160127,大村,1,6,5,4743,木村仁紀,67,18,6.89,6,0.11,NaN,一般戦,1800,曇り,南,2,1,まくり
20160127,大村,2,1,1,4522,古澤光紀,40,15,6.78,1,0.09,108.1,一般戦,1800,曇り,南,3,2,逃げ
20160127,大村,2,2,2,3661,柳瀬興志,28,23,6.78,2,0.14,109.8,一般戦,1800,曇り,南,3,2,逃げ
20160127,大村,2,3,3,4732,堀本和也,48,74,6.79,3,0.13,110.7,一般戦,1800,曇り,南,3,2,逃げ
20160127,大村,2,4,4,4594,谷川祐一,46,19,6.85,4,0.22,111.7,一般戦,1800,曇り,南,3,2,逃げ
20160127,大村,2,5,6,4553,坪口竜也,33,55,6.75,6,0.24,NaN,一般戦,1800,曇り,南,3,2,逃げ
20160127,大村,2,6,5,3065,増田弘喜,34,31,6.80,5,0.18,NaN,一般戦,1800,曇り,南,3,2,逃げ
20160127,大村,3,1,5,3339,泉具巳,53,16,6.81,5,0.05,108.3,一般戦,1800,曇り,南,2,1,まくり
20160127,大村,3,2,3,4512,高野哲史,47,27,6.92,3,0.11,109.4,一般戦,1800,曇り,南,2,1,まくり
