Date,会場,Round,着順結果,艇番,選手登番,選手名,モーターNo,ボートNo,展示タイム,進入順位,スタートタイム,レースタイム,試合タイプ,コース距離,天候,風向,風速,波高,決まり手
20150319,唐津,1,1,1,4500,山田康二,70,84,6.81,1,0.14,109.5,一般戦,1800,雨,北,5,5,逃げ
20150319,唐津,1,2,3,4565,西村豪洋,41,37,6.79,3,0.17,110.5,一般戦,1800,雨,北,5,5,逃げ
20150319,唐津,1,3,4,3652,森下勇,44,69,6.84,4,0.15,112.6,一般戦,1800,雨,北,5,5,逃げ
20150319,唐津,1,4,6,3884,豊田聡,66,73,6.88,6,0.19,114.7,一般戦,1800,雨,北,5,5,逃げ
20150319,唐津,1,5,2,3714,梶原正,55,47,6.83,2,0.15,115.6,一般戦,1800,雨,北,5,5,逃げ
20150319,唐津,1,6,5,4789,古賀智之,46,33,6.75,5,0.50,117.4,一般戦,1800,雨,北,5,5,逃げ
20150319,唐津,2,1,2,3838,伊藤啓三,32,86,6.69,3,0.17,108.7,一般戦,1800,雨,北,4,3,恵まれ
20150319,唐津,2,2,1,4596,葛原大陽,34,59,6.79,1,0.09,110.3,一般戦,1800,雨,北,4,3,恵まれ
20150319,唐津,2,3,3,3607,原田智和,39,70,6.72,4,0.11,112.2,一般戦,1800,雨,北,4,3,恵まれ
20150319,唐津,2,4,5,3571,寺本武司,40,39,6.82,5,0.15,114.6,一般戦,1800,雨,北,4,3,恵まれ
20150319,唐津,2,5,4,3520,岩本豊志,54,90,6.80,2,0.27,117.6,一般戦,1800,雨,北,4,3,恵まれ
20150319,唐津,3,1,1,3985,内田貴士,52,72,6.80,1,0.21,108.8,一般戦,1800,雨,北,5,5,逃げ
20150319,唐津,3,2,3,3529,松本勝也,38,85,6.77,3,0.18,109.5,一般戦,1800,雨,北,5,5,逃げ
20150319,唐津,3,3,2,3974,深山祐二,58,31,6.83,2,0.23,111.0,一般戦,1800,雨,北,5,5,逃げ
20150319,唐津,3,4,5,3521,今村賢二郎,18,36,6.85,6,0.38,112.3,一般戦,1800,雨,北,5,5,逃げ
20150319,唐津,3,5,4,3637,齋藤和政,23,52,6.82,4,0.24,113.2,一般戦,1800,雨,北,5,5,逃げ
20150319,唐津,3,6,6,3858,織田猛,63,34,6.80,5,0.21,113.9,一般戦,1800,雨,北,5,5,逃げ
20150319,唐津,4,1,1,4276,鈴木勝博,24,58,6.83,1,0.06,108.2,一般戦,1800,曇り,北,6,5,逃げ
20150319,唐津,4,2,4,3602,奥平拓也,30,64,6.85,4,0.12,109.9,一般戦,1800,曇り,北,6,5,逃げ
20150319,唐津,4,3,2,3627,井上恵一,19,56,6.85,2,0.11,111.4,一般戦,1800,曇り,北,6,5,逃げ
20150319,唐津,4,4,5,4462,夏山亮平,17,48,6.76,5,0.14,111.7,一般戦,1800,曇り,北,6,5,逃げ
20150319,唐津,4,5,3,3782,伊藤宏,59,67,6.95,3,0.14,115.3,一般戦,1800,曇り,北,6,5,逃げ
20150319,唐津,4,6,6,4515,藤田浩人,22,83,6.82,6,0.20,116.4,一般戦,1800,曇り,北,6,5,逃げ
20150319,唐津,5,1,2,4492,本多宏和,13,43,6.94,2,0.13,109.4,一般戦,1800,曇り,北,6,5,差し
20150319,唐津,5,2,4,3997,北村征嗣,36,76,6.86,4,0.18,110.6,一般戦,1800,曇り,北,6,5,差し
20150319,唐津,5,3,5,3920,正木聖賢,50,55,6.89,5,0.23,111.1,一般戦,1800,曇り,北,6,5,差し
20150319,唐津,5,4,3,4040,廣瀬将亨,45,42,6.87,3,0.12,111.3,一般戦,1800,曇り,北,6,5,差し
20150319,唐津,5,5,1,4565,西村豪洋,41,37,6.74,1,0.14,113.1,一般戦,1800,曇り,北,6,5,差し
20150319,唐津,5,6,6,4839,四宮与寛,14,71,6.83,6,0.07,115.6,一般戦,1800,曇り,北,6,5,差し
20150319,唐津,6,1,2,3517,高橋勲,37,44,6.94,2,0.06,109.9,一般戦,1800,曇り,北,7,7,抜き
20150319,唐津,6,2,4,4596,葛原大陽,34,59,6.88,4,0.05,110.8,一般戦,1800,曇り,北,7,7,抜き
20150319,唐津,6,3,1,3652,森下勇,44,69,6.95,1,0.01,111.8,一般戦,1800,曇り,北,7,7,抜き
20150319,唐津,6,4,3,3832,下田哲也,49,66,6.88,3,0.05,112.3,一般戦,1800,曇り,北,7,7,抜き
20150319,唐津,6,5,6,3757,畑和宏,56,38,6.76,6,0.16,113.6,一般戦,1800,曇り,北,7,7,抜き
20150319,唐津,6,6,5,3441,土屋太朗,51,88,6.84,5,0.11,115.2,一般戦,1800,曇り,北,7,7,抜き
20150319,唐津,7,1,4,4348,宮崎奨,61,87,6.79,4,0.25,109.1,一般戦,1800,曇り,北,6,5,まくり差し
20150319,唐津,7,2,1,3522,長溝一生,33,63,6.86,1,0.18,111.9,一般戦,1800,曇り,北,6,5,まくり差し
20150319,唐津,7,3,3,3585,井川真人,27,68,6.87,3,0.15,111.9,一般戦,1800,曇り,北,6,5,まくり差し
20150319,唐津,7,4,6,3521,今村賢二郎,18,36,6.87,6,0.37,113.5,一般戦,1800,曇り,北,6,5,まくり差し
20150319,唐津,7,5,5,3884,豊田聡,66,73,6.93,5,0.25,114.9,一般戦,1800,曇り,北,6,5,まくり差し
20150319,唐津,7,6,2,3444,香月大介,12,49,6.88,2,0.25,115.9,一般戦,1800,曇り,北,6,5,まくり差し
20150319,唐津,8,1,4,4462,夏山亮平,17,48,6.80,5,0.13,109.1,一般戦,1800,曇り,北,6,5,まくり差し
20150319,唐津,8,2,1,3827,今泉徹,67,54,6.88,1,0.11,110.8,一般戦,1800,曇り,北,6,5,まくり差し
20150319,唐津,8,3,5,2380,関忠志,25,80,6.92,2,0.25,112.2,一般戦,1800,曇り,北,6,5,まくり差し
20150319,唐津,8,4,3,3489,大場敏,48,79,6.86,4,0.20,112.5,一般戦,1800,曇り,北,6,5,まくり差し
20150319,唐津,8,5,2,3637,齋藤和政,23,52,6.85,3,0.27,113.5,一般戦,1800,曇り,北,6,5,まくり差し
20150319,唐津,8,6,6,3765,澤中信吾,68,77,6.96,6,0.26,115.4,一般戦,1800,曇り,北,6,5,まくり差し
20150319,唐津,9,1,5,3187,篠原俊夫,31,46,6.89,4,0.05,108.8,一般戦,1800,曇り,北,6,5,差し
20150319,唐津,9,2,4,4379,桑島和宏,29,51,6.85,6,0.08,109.3,一般戦,1800,曇り,北,6,5,差し
20150319,唐津,9,3,3,3602,奥平拓也,30,64,6.84,3,0.09,111.0,一般戦,1800,曇り,北,6,5,差し
20150319,唐津,9,4,1,3997,北村征嗣,36,76,6.85,1,0.09,111.7,一般戦,1800,曇り,北,6,5,差し
20150319,唐津,9,5,2,3843,上之晃弘,57,61,6.86,2,0.09,113.6,一般戦,1800,曇り,北,6,5,差し
20150319,唐津,9,6,6,3992,関口智久,21,75,6.87,5,0.09,113.9,一般戦,1800,曇り,北,6,5,差し
20150319,唐津,10,1,1,3441,土屋太朗,51,88,6.86,1,0.16,108.8,準優勝戦,1800,曇り,北,6,5,逃げ
20150319,唐津,10,2,2,3920,正木聖賢,50,55,6.81,2,0.17,109.7,準優勝戦,1800,曇り,北,6,5,逃げ
20150319,唐津,10,3,3,4515,藤田浩人,22,83,6.89,3,0.26,111.5,準優勝戦,1800,曇り,北,6,5,逃げ
20150319,唐津,10,4,6,3627,井上恵一,19,56,6.83,6,0.33,112.8,準優勝戦,1800,曇り,北,6,5,逃げ
20150319,唐津,10,5,5,4492,本多宏和,13,43,6.92,5,0.22,113.4,準優勝戦,1800,曇り,北,6,5,逃げ
20150319,唐津,10,6,4,3517,高橋勲,37,44,6.90,4,0.21,117.0,準優勝戦,1800,曇り,北,6,5,逃げ
20150319,唐津,11,1,1,3838,伊藤啓三,32,86,6.77,1,0.05,108.8,準優勝戦,1800,雨,北,6,5,逃げ
20150319,唐津,11,2,4,4040,廣瀬将亨,45,42,6.79,4,0.13,109.8,準優勝戦,1800,雨,北,6,5,逃げ
20150319,唐津,11,3,2,4500,山田康二,70,84,6.79,2,0.07,110.2,準優勝戦,1800,雨,北,6,5,逃げ
