Date,会場,Round,着順結果,艇番,選手登番,選手名,モーターNo,ボートNo,展示タイム,進入順位,スタートタイム,レースタイム,試合タイプ,コース距離,天候,風向,風速,波高,決まり手
20151130,大村,1,1,1,4290,稲田浩二,72,63,6.88,1,0.06,109.7,一般戦,1800,晴,南,2,1,逃げ
20151130,大村,1,2,2,4322,永瀬巧,29,65,7.01,2,0.08,110.7,一般戦,1800,晴,南,2,1,逃げ
20151130,大村,1,3,3,3123,中西宏文,49,44,6.90,3,0.09,111.8,一般戦,1800,晴,南,2,1,逃げ
20151130,大村,1,4,4,4087,吉田敦志,44,23,6.94,4,0.13,112.7,一般戦,1800,晴,南,2,1,逃げ
20151130,大村,1,5,5,4783,木村詳子,37,71,7.01,5,0.12,NaN,一般戦,1800,晴,南,2,1,逃げ
20151130,大村,1,6,6,4843,深尾巴恵,74,14,6.94,6,0.08,NaN,一般戦,1800,晴,南,2,1,逃げ
20151130,大村,2,1,2,4151,下河誉史,53,27,6.94,2,0.16,108.4,予選,1800,晴,南,2,1,差し
20151130,大村,2,2,1,3773,津留浩一郎,35,53,7.01,1,0.21,110.4,予選,1800,晴,南,2,1,差し
20151130,大村,2,3,5,4553,坪口竜也,51,67,6.96,5,0.29,112.2,予選,1800,晴,南,2,1,差し
20151130,大村,2,4,4,4461,安田吉宏,55,47,6.99,4,0.33,113.5,予選,1800,晴,南,2,1,差し
20151130,大村,2,5,3,4274,長畑友輔,27,13,6.96,3,0.16,NaN,予選,1800,晴,南,2,1,差し
20151130,大村,2,6,6,3214,中西長松,68,28,6.94,6,0.27,NaN,予選,1800,晴,南,2,1,差し
20151130,大村,3,1,4,4134,杉山貴博,52,74,7.01,4,0.16,108.6,予選,1800,晴,南,1,1,差し
20151130,大村,3,2,3,4148,枝尾賢,58,35,7.00,3,0.16,109.8,予選,1800,晴,南,1,1,差し
20151130,大村,3,3,5,4560,庄司樹良々,31,40,7.02,5,0.18,112.1,予選,1800,晴,南,1,1,差し
20151130,大村,3,4,2,3653,品川賢次,64,37,7.01,2,0.23,113.0,予選,1800,晴,南,1,1,差し
20151130,大村,3,5,1,3401,上田隆章,59,15,6.93,1,0.33,NaN,予選,1800,晴,南,1,1,差し
20151130,大村,3,6,6,3997,北村征嗣,34,18,6.87,6,0.21,NaN,予選,1800,晴,南,1,1,差し
20151130,大村,4,1,2,4011,堀之内紀代子,65,50,6.89,2,0.14,108.0,予選,1800,晴,北西,2,1,まくり
20151130,大村,4,2,1,3518,倉田郁美,73,41,6.93,1,0.19,109.8,予選,1800,晴,北西,2,1,まくり
20151130,大村,4,3,6,4536,喜井つかさ,30,30,6.87,6,0.19,112.5,予選,1800,晴,北西,2,1,まくり
20151130,大村,4,4,4,3182,久保田美紀,33,19,6.92,4,0.27,113.4,予選,1800,晴,北西,2,1,まくり
20151130,大村,4,5,3,3483,入船幸子,60,31,6.90,3,0.33,NaN,予選,1800,晴,北西,2,1,まくり
20151130,大村,4,6,5,4534,坂咲友理,26,58,6.87,5,0.20,NaN,予選,1800,晴,北西,2,1,まくり
