Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率
20151219,1,大村,1,4040,廣瀬将亨,36,兵庫,54,A1,5.97,43.55,5.50,37.50,36.63,40.48
20151219,1,大村,2,3136,渋谷正義,56,埼玉,52,B1,4.01,19.18,0.00,0.00,34.76,18.06
20151219,1,大村,3,4198,沼田克彦,33,徳島,53,B1,4.13,20.78,3.39,17.39,27.27,14.29
20151219,1,大村,4,4407,鹿島敏弘,29,群馬,55,B1,5.36,31.52,4.77,23.08,31.93,22.86
20151219,1,大村,5,4734,安河内将,26,東京,53,B1,4.59,25.00,0.00,0.00,29.31,38.89
20151219,1,大村,6,4868,松本峻,24,福岡,53,B2,1.65,0.00,0.00,0.00,24.69,21.13
20151219,2,大村,1,4549,小林文彦,27,福岡,53,A2,5.68,39.80,5.85,38.46,37.02,46.74
20151219,2,大村,2,3741,松尾基成,41,福岡,55,B1,4.67,24.71,4.23,21.43,33.14,61.36
20151219,2,大村,3,3678,小林純一,42,佐賀,55,B1,3.69,16.25,3.43,10.81,20.98,36.36
20151219,2,大村,4,3726,桂林寛,44,福岡,51,A2,5.74,35.51,6.19,45.76,25.17,23.08
20151219,2,大村,5,4778,堤啓輔,30,佐賀,51,B2,2.88,8.00,1.86,2.04,42.20,26.97
20151219,2,大村,6,3643,米田隆弘,43,岡山,54,B1,5.41,32.56,4.82,11.76,24.09,43.82
20151219,3,大村,1,4128,川口貴久,35,東京,54,A1,5.74,39.33,4.25,25.00,23.65,29.89
20151219,3,大村,2,4639,雑賀勇貴,25,大阪,54,B1,4.77,27.47,3.87,13.33,20.93,30.12
20151219,3,大村,3,3601,田村勇一,45,山口,49,B1,4.06,20.24,5.50,36.67,34.43,31.18
20151219,3,大村,4,3602,奥平拓也,45,東京,50,A2,5.51,40.00,5.60,40.00,38.76,29.90
20151219,3,大村,5,3186,沖悟,55,大阪,51,B1,4.73,26.92,6.08,44.00,30.06,24.32
20151219,3,大村,6,3135,山口博司,57,長崎,51,B1,4.83,35.21,5.07,32.95,38.80,31.68
20151219,4,大村,1,3746,岡瀬正人,40,岡山,51,A1,5.93,41.32,6.15,45.00,26.28,35.29
20151219,4,大村,2,4383,竹田吉行,30,徳島,49,B1,4.43,22.68,4.65,29.03,30.67,23.61
20151219,4,大村,3,4696,齋藤竜次,29,東京,51,B1,2.53,6.12,0.00,0.00,23.81,27.38
20151219,4,大村,4,4488,小山勉,29,埼玉,53,A2,5.41,35.77,6.52,56.00,22.73,42.35
20151219,4,大村,5,4498,宮本夏樹,28,長崎,51,A2,4.97,29.41,5.47,36.49,26.25,40.22
20151219,4,大村,6,3846,藤井理,38,山口,59,B1,4.83,28.57,4.35,23.08,39.89,20.27
20151219,5,大村,1,4072,森永淳,34,佐賀,51,A1,6.83,57.45,7.27,62.50,51.12,31.17
20151219,5,大村,2,3882,新田智彰,42,大阪,55,A2,5.63,39.17,5.93,42.86,25.17,30.77
20151219,5,大村,3,3136,渋谷正義,56,埼玉,52,B1,4.01,19.18,0.00,0.00,34.76,18.06
20151219,5,大村,4,4093,吉田宗弘,34,東京,48,B1,5.89,40.74,4.83,16.67,37.29,31.25
20151219,5,大村,5,4517,平野恭兵,28,東京,54,B1,3.37,15.38,3.00,16.67,30.64,44.19
20151219,5,大村,6,4803,飯田庄吾,22,福岡,55,B2,2.98,0.00,1.86,0.00,35.20,29.27
20151219,6,大村,1,3884,豊田聡,42,徳島,51,B1,3.98,15.66,4.36,15.15,32.52,35.16
20151219,6,大村,2,3475,橋本久和,45,群馬,52,A2,6.15,44.80,7.58,73.68,35.67,18.18
20151219,6,大村,3,3454,井川大作,44,岡山,57,A2,5.83,41.04,5.00,30.00,27.33,35.42
20151219,6,大村,4,4639,雑賀勇貴,25,大阪,54,B1,4.77,27.47,3.87,13.33,20.93,30.12
20151219,6,大村,5,4468,大池佑来,28,東京,51,A1,5.98,38.05,7.14,54.05,33.33,21.13
20151219,6,大村,6,4724,吉田祐貴,29,佐賀,52,B2,3.47,15.52,2.63,0.00,46.28,28.09
20151219,7,大村,1,3911,鈴木猛,42,東京,50,B1,4.61,24.39,5.03,31.03,35.48,39.13
20151219,7,大村,2,3742,宮地秀祈,41,福岡,53,A2,5.04,26.60,5.25,37.50,55.17,47.83
20151219,7,大村,3,4734,安河内将,26,東京,53,B1,4.59,25.00,0.00,0.00,29.31,38.89
20151219,7,大村,4,3441,土屋太朗,46,群馬,54,A1,6.43,47.57,5.71,42.86,21.83,38.46
20151219,7,大村,5,4070,中村亮太,35,長崎,52,B2,6.83,50.00,7.79,63.16,35.48,16.42
20151219,7,大村,6,3678,小林純一,42,佐賀,55,B1,3.69,16.25,3.43,10.81,20.98,36.36
20151219,8,大村,1,3807,岡部哲,41,埼玉,52,B1,5.16,26.00,5.72,33.33,40.96,36.67
20151219,8,大村,2,4198,沼田克彦,33,徳島,53,B1,4.13,20.78,3.39,17.39,27.27,14.29
20151219,8,大村,3,3529,松本勝也,44,兵庫,51,A1,6.85,54.84,6.79,63.16,33.71,36.36
20151219,8,大村,4,4383,竹田吉行,30,徳島,49,B1,4.43,22.68,4.65,29.03,30.67,23.61
20151219,8,大村,5,3602,奥平拓也,45,東京,50,A2,5.51,40.00,5.60,40.00,38.76,29.90
20151219,8,大村,6,3352,小川晃司,47,福岡,50,B1,5.19,26.60,4.94,19.15,31.67,36.26
20151219,9,大村,1,4402,乙藤智史,30,福岡,52,A2,5.89,39.62,6.21,44.78,38.46,29.89
20151219,9,大村,2,4696,齋藤竜次,29,東京,51,B1,2.53,6.12,0.00,0.00,23.81,27.38
20151219,9,大村,3,4407,鹿島敏弘,29,群馬,55,B1,5.36,31.52,4.77,23.08,31.93,22.86
20151219,9,大村,4,4645,上村純一,35,群馬,53,A1,5.21,35.51,0.00,0.00,36.52,27.63
20151219,9,大村,5,4093,吉田宗弘,34,東京,48,B1,5.89,40.74,4.83,16.67,37.29,31.25
20151219,9,大村,6,4778,堤啓輔,30,佐賀,51,B2,2.88,8.00,1.86,2.04,42.20,26.97
20151219,10,大村,1,3846,藤井理,38,山口,59,B1,4.83,28.57,4.35,23.08,39.89,20.27
