Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率
20150328,1,大村,1,3349,吉田一郎,47,長崎,52,A1,6.24,45.04,6.60,47.16,0.00,33.80
20150328,1,大村,2,3818,山崎康弘,43,長崎,57,B1,3.62,16.48,3.54,15.38,0.00,27.01
20150328,1,大村,3,4164,岩永節也,33,長崎,55,B1,4.05,17.02,4.54,24.71,0.00,21.37
20150328,1,大村,4,3565,坂本徳克,44,東京,54,B1,3.57,11.11,4.29,28.57,0.00,36.11
20150328,1,大村,5,4801,小城千奈,21,福岡,46,B2,2.76,4.23,2.22,0.00,0.00,26.67
20150328,1,大村,6,4773,中川りな,21,福岡,56,B2,2.23,1.75,2.87,0.00,0.00,29.08
20150328,2,大村,1,4019,笠原亮,35,静岡,53,A2,7.19,60.32,6.47,35.29,0.00,23.73
20150328,2,大村,2,3964,宮地博士,36,長崎,55,B1,4.74,26.67,5.49,38.30,0.00,32.19
20150328,2,大村,3,3491,富永茂,47,福岡,51,B1,3.41,17.95,3.59,9.09,0.00,33.08
20150328,2,大村,4,3989,熊本英一,36,佐賀,56,B1,4.98,29.47,4.85,21.95,0.00,28.99
20150328,2,大村,5,4596,葛原大陽,31,徳島,52,A2,5.30,28.32,5.67,33.33,0.00,29.20
20150328,2,大村,6,4145,小澤学,33,東京,54,B1,5.24,32.65,4.22,0.00,0.00,31.21
20150328,3,大村,1,4133,高橋正男,34,兵庫,53,A2,5.92,44.44,5.46,30.77,0.00,35.14
20150328,3,大村,2,4089,妹尾忠幸,34,岡山,54,A1,6.47,46.72,7.32,63.16,0.00,25.58
20150328,3,大村,3,4222,山口高志,33,佐賀,52,A2,6.21,41.79,5.66,42.11,0.00,34.01
20150328,3,大村,4,4506,稗田聖也,26,福岡,52,A2,5.62,38.71,5.91,37.14,0.00,26.56
20150328,3,大村,5,3811,石田章央,39,静岡,53,A2,6.42,50.39,6.64,54.55,0.00,26.32
20150328,3,大村,6,3757,畑和宏,43,広島,51,A2,6.01,36.70,5.18,23.53,0.00,30.37
20150328,4,大村,1,3848,川上聡介,37,愛知,57,A2,5.87,36.94,5.24,30.30,0.00,37.86
20150328,4,大村,2,3990,芹澤克彦,36,静岡,50,A1,4.75,27.05,5.23,38.46,0.00,27.54
20150328,4,大村,3,4072,森永淳,34,佐賀,49,A1,7.59,61.45,6.76,55.26,0.00,31.72
20150328,4,大村,4,3926,大古場貴,39,佐賀,47,B1,4.62,26.80,5.05,24.39,0.00,28.89
20150328,4,大村,5,4199,北川潤二,32,愛知,54,B1,5.16,31.93,4.80,20.00,0.00,34.27
20150328,4,大村,6,4347,魚谷香織,29,福岡,44,A2,6.20,44.07,4.93,27.59,0.00,32.59
20150328,5,大村,1,3517,高橋勲,47,東京,56,A1,6.35,47.96,6.88,55.88,0.00,31.62
20150328,5,大村,2,4045,佐々木裕,35,山口,46,B1,4.42,27.54,4.33,22.22,0.00,19.48
20150328,5,大村,3,3906,飯山晃三,37,長崎,57,A2,5.61,36.62,6.36,45.37,0.00,38.85
20150328,5,大村,4,3691,加藤知弘,44,群馬,57,B1,5.30,31.25,4.50,12.50,0.00,34.69
20150328,5,大村,5,4257,古川健,31,広島,50,B1,4.38,28.00,4.83,31.43,0.00,37.41
20150328,5,大村,6,4778,堤啓輔,29,佐賀,52,B2,2.43,5.36,1.67,0.00,0.00,27.21
20150328,6,大村,1,3608,森仁志,43,愛知,49,B1,4.16,19.00,3.00,0.00,0.00,26.87
20150328,6,大村,2,3989,熊本英一,36,佐賀,56,B1,4.98,29.47,4.85,21.95,0.00,28.99
20150328,6,大村,3,4450,平高奈菜,27,香川,46,A1,7.17,54.19,6.88,58.33,0.00,29.37
20150328,6,大村,4,4268,和合俊介,29,福岡,57,B1,4.16,21.05,4.48,25.81,0.00,26.81
20150328,6,大村,5,3788,一宮稔弘,43,徳島,52,A2,6.12,39.71,4.71,21.43,0.00,29.55
20150328,6,大村,6,3903,白石健,37,兵庫,50,A1,7.93,68.66,7.57,66.67,0.00,29.79
20150328,7,大村,1,2912,尾崎鉄也,59,長崎,56,B1,4.81,35.16,5.41,34.81,0.00,29.85
20150328,7,大村,2,4167,片岡秀樹,32,徳島,59,B1,4.11,15.79,4.93,30.00,0.00,31.65
20150328,7,大村,3,4589,塩崎桐加,22,三重,53,B1,4.86,29.67,6.11,37.04,0.00,28.79
20150328,7,大村,4,3964,宮地博士,36,長崎,55,B1,4.74,26.67,5.49,38.30,0.00,32.19
20150328,7,大村,5,4164,岩永節也,33,長崎,55,B1,4.05,17.02,4.54,24.71,0.00,21.37
20150328,7,大村,6,3926,大古場貴,39,佐賀,47,B1,4.62,26.80,5.05,24.39,0.00,28.89
20150328,8,大村,1,3491,富永茂,47,福岡,51,B1,3.41,17.95,3.59,9.09,0.00,33.08
20150328,8,大村,2,3565,坂本徳克,44,東京,54,B1,3.57,11.11,4.29,28.57,0.00,36.11
20150328,8,大村,3,4320,峰竜太,29,佐賀,48,A1,8.00,63.75,6.00,35.29,0.00,29.79
20150328,8,大村,4,4451,松崎祐太,27,福岡,50,A2,6.44,46.03,5.85,40.00,0.00,38.64
20150328,8,大村,5,4778,堤啓輔,29,佐賀,52,B2,2.43,5.36,1.67,0.00,0.00,27.21
20150328,8,大村,6,3811,石田章央,39,静岡,53,A2,6.42,50.39,6.64,54.55,0.00,26.32
20150328,9,大村,1,4222,山口高志,33,佐賀,52,A2,6.21,41.79,5.66,42.11,0.00,34.01
20150328,9,大村,2,3906,飯山晃三,37,長崎,57,A2,5.61,36.62,6.36,45.37,0.00,38.85
20150328,9,大村,3,3919,村上純,40,岡山,51,A1,6.98,53.15,7.10,54.10,0.00,40.44
20150328,9,大村,4,3848,川上聡介,37,愛知,57,A2,5.87,36.94,5.24,30.30,0.00,37.86
20150328,9,大村,5,4268,和合俊介,29,福岡,57,B1,4.16,21.05,4.48,25.81,0.00,26.81
20150328,9,大村,6,4596,葛原大陽,31,徳島,52,A2,5.30,28.32,5.67,33.33,0.00,29.20
20150328,10,大村,1,4450,平高奈菜,27,香川,46,A1,7.17,54.19,6.88,58.33,0.00,29.37
20150328,10,大村,2,4589,塩崎桐加,22,三重,53,B1,4.86,29.67,6.11,37.04,0.00,28.79
20150328,10,大村,3,4464,山下友貴,28,静岡,47,A2,5.25,34.86,5.68,44.74,0.00,25.55
20150328,10,大村,4,4045,佐々木裕,35,山口,46,B1,4.42,27.54,4.33,22.22,0.00,19.48
20150328,10,大村,5,4347,魚谷香織,29,福岡,44,A2,6.20,44.07,4.93,27.59,0.00,32.59
20150328,10,大村,6,4801,小城千奈,21,福岡,46,B2,2.76,4.23,2.22,0.00,0.00,26.67
20150328,11,大村,1,4089,妹尾忠幸,34,岡山,54,A1,6.47,46.72,7.32,63.16,0.00,25.58
20150328,11,大村,2,3740,大澤普司,40,群馬,52,A1,6.57,47.41,5.90,40.00,0.00,31.43
20150328,11,大村,3,4019,笠原亮,35,静岡,53,A2,7.19,60.32,6.47,35.29,0.00,23.73
20150328,11,大村,4,3990,芹澤克彦,36,静岡,50,A1,4.75,27.05,5.23,38.46,0.00,27.54
20150328,11,大村,5,4451,松崎祐太,27,福岡,50,A2,6.44,46.03,5.85,40.00,0.00,38.64
20150328,11,大村,6,3788,一宮稔弘,43,徳島,52,A2,6.12,39.71,4.71,21.43,0.00,29.55
20150328,12,大村,1,4320,峰竜太,29,佐賀,48,A1,8.00,63.75,6.00,35.29,0.00,29.79
20150328,12,大村,2,3349,吉田一郎,47,長崎,52,A1,6.24,45.04,6.60,47.16,0.00,33.80
