Date,会場,Round,着順結果,艇番,選手登番,選手名,モーターNo,ボートNo,展示タイム,進入順位,スタートタイム,レースタイム,試合タイプ,コース距離,天候,風向,風速,波高,決まり手
20151011,大村,1,1,1,3488,柳田英明,20,31,6.79,1,0.18,109.5,一般戦,1800,晴,北西,5,4,逃げ
20151011,大村,1,2,3,4506,稗田聖也,74,33,6.82,3,0.13,110.5,一般戦,1800,晴,北西,5,4,逃げ
20151011,大村,1,3,4,3108,松本真吾,60,27,6.87,4,0.14,112.0,一般戦,1800,晴,北西,5,4,逃げ
20151011,大村,1,4,2,4004,山本浩輔,41,45,6.84,2,0.13,114.3,一般戦,1800,晴,北西,5,4,逃げ
20151011,大村,1,5,6,4747,山戸信二,58,66,6.86,6,0.17,NaN,一般戦,1800,晴,北西,5,4,逃げ
20151011,大村,1,6,5,4752,西尾亮輔,21,65,6.80,5,0.17,NaN,一般戦,1800,晴,北西,5,4,逃げ
20151011,大村,2,1,1,4396,大田直弥,44,13,6.80,1,0.28,109.5,一般戦,1800,晴,北西,5,4,逃げ
20151011,大村,2,2,3,4511,中岡健人,56,26,6.73,3,0.28,111.8,一般戦,1800,晴,北西,5,4,逃げ
20151011,大村,2,3,4,3164,森脇徹,24,17,6.78,4,0.32,112.2,一般戦,1800,晴,北西,5,4,逃げ
20151011,大村,2,4,2,4231,鈴木裕隆,18,28,6.76,2,0.29,113.3,一般戦,1800,晴,北西,5,4,逃げ
20151011,大村,2,5,5,4768,田代元気,49,61,6.78,5,0.39,NaN,一般戦,1800,晴,北西,5,4,逃げ
20151011,大村,2,6,6,3085,川名稔,72,43,6.76,6,0.42,NaN,一般戦,1800,晴,北西,5,4,逃げ
20151011,大村,3,1,1,4143,浦田晃嗣,51,51,6.95,1,0.15,110.0,一般戦,1800,晴,北西,5,4,逃げ
20151011,大村,3,2,6,3679,飯島昌弘,30,58,6.76,6,0.08,111.2,一般戦,1800,晴,北西,5,4,逃げ
20151011,大村,3,3,4,4248,岡本大,36,46,6.77,4,0.15,112.2,一般戦,1800,晴,北西,5,4,逃げ
20151011,大村,3,4,3,3456,松下潤,39,62,6.77,3,0.19,114.0,一般戦,1800,晴,北西,5,4,逃げ
