Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率
20150702,1,大村,1,3629,浅見昌克,45,埼玉,51,A1,6.59,53.85,6.61,50.00,37.18,34.47
20150702,1,大村,2,4299,中島浩哉,32,長崎,58,B1,4.11,18.39,4.51,24.04,35.21,39.53
20150702,1,大村,3,4625,渡邊裕貴,29,静岡,51,B1,4.06,23.60,0.00,0.00,33.77,34.83
20150702,1,大村,4,3211,北川敏弘,53,佐賀,55,B1,5.80,34.78,5.88,40.00,32.00,38.65
20150702,1,大村,5,4046,谷村啓司,35,福岡,52,B1,3.55,14.10,3.95,10.53,29.87,30.48
20150702,1,大村,6,4755,山田貴愛,26,長崎,53,B2,2.03,0.00,1.32,0.00,38.71,40.00
20150702,2,大村,1,2914,岡孝,58,徳島,54,A1,5.87,44.19,0.00,0.00,33.33,30.00
20150702,2,大村,2,3974,深山祐二,38,佐賀,52,B1,4.62,26.74,4.83,31.43,26.67,36.10
20150702,2,大村,3,3156,金子良昭,50,静岡,54,A1,6.70,50.00,6.75,56.25,22.67,27.89
20150702,2,大村,4,4429,豊田泰洋,29,広島,55,B1,4.60,28.42,4.29,23.53,13.46,36.55
20150702,2,大村,5,3361,岡部浩,46,徳島,50,B1,4.93,26.60,5.90,34.48,28.38,36.10
20150702,2,大村,6,3922,菅沼佳昭,40,愛知,49,B1,3.76,20.00,5.10,19.05,42.86,31.07
20150702,3,大村,1,3731,高濱芳久,41,広島,51,A2,6.59,50.78,7.55,72.73,16.42,31.07
20150702,3,大村,2,4451,松崎祐太,27,福岡,50,A2,5.87,37.80,5.43,35.71,21.92,40.00
20150702,3,大村,3,3619,長谷川充,41,群馬,51,A2,5.92,43.70,5.89,32.43,24.32,32.41
20150702,3,大村,4,4366,前沢丈史,29,東京,53,A1,6.68,49.66,7.20,56.67,36.36,41.09
20150702,3,大村,5,3687,花田和明,45,愛知,52,B1,5.65,39.02,0.00,0.00,29.11,43.78
20150702,3,大村,6,4879,山崎鉄平,20,佐賀,54,B2,1.76,0.00,0.00,0.00,21.43,33.49
20150702,4,大村,1,4422,永井亮次,26,大阪,54,B1,4.69,22.22,5.10,30.00,35.00,32.23
20150702,4,大村,2,3952,中澤和志,38,埼玉,54,A2,7.22,56.06,7.72,59.38,27.54,32.02
20150702,4,大村,3,4041,小林基樹,36,山口,52,B1,4.70,33.33,4.28,23.40,21.62,34.47
20150702,4,大村,4,3686,鳥居塚孝,40,群馬,52,A2,5.85,38.10,5.66,31.25,37.80,34.83
20150702,4,大村,5,4741,中村直喜,23,福岡,48,B2,2.15,1.61,1.67,0.00,37.18,31.22
20150702,4,大村,6,3725,向達哉,44,大阪,50,A2,5.37,35.51,5.08,37.50,34.21,33.17
20150702,5,大村,1,4276,鈴木勝博,32,愛知,52,A1,5.77,39.84,5.88,31.25,15.63,36.06
20150702,5,大村,2,2958,井川正人,57,長崎,49,B1,4.91,31.03,5.45,37.70,30.99,43.78
20150702,5,大村,3,3695,安東将,43,山口,50,B2,3.41,4.55,2.57,7.14,40.91,27.59
20150702,5,大村,4,3236,田上晋六,53,東京,50,B1,5.15,33.64,0.00,0.00,29.58,39.42
20150702,5,大村,5,3950,石川哲秀,39,大阪,55,B1,4.10,13.10,5.06,25.00,37.97,30.48
20150702,5,大村,6,4216,星栄爾,30,静岡,51,A2,6.42,44.93,5.39,30.43,26.23,38.69
20150702,6,大村,1,4257,古川健,31,広島,50,B1,4.74,33.33,4.71,30.95,31.08,40.10
20150702,6,大村,2,3663,木山和幸,45,広島,49,A2,5.89,40.71,6.29,42.86,32.35,38.35
20150702,6,大村,3,3349,吉田一郎,47,長崎,51,A1,6.81,53.96,6.75,50.57,25.71,31.51
20150702,6,大村,4,3831,安藤裕貴,40,愛知,55,B1,5.22,37.66,0.67,0.00,31.58,23.53
20150702,6,大村,5,4247,齊藤優,33,徳島,53,B1,4.69,29.63,0.00,0.00,39.06,35.68
20150702,6,大村,6,4062,後藤陽介,36,愛知,55,A2,5.43,35.14,5.00,31.82,32.31,38.86
20150702,7,大村,1,4138,中井俊祐,34,大阪,54,B1,4.76,27.63,4.33,26.67,26.67,32.70
20150702,7,大村,2,4631,新井英孝,28,大阪,50,B1,3.89,20.24,3.33,16.67,25.37,36.53
20150702,7,大村,3,4150,山田雄太,33,静岡,54,A1,7.80,66.20,9.83,99.99,17.39,36.89
20150702,7,大村,4,3156,金子良昭,50,静岡,54,A1,6.70,50.00,6.75,56.25,22.67,27.89
20150702,7,大村,5,4041,小林基樹,36,山口,52,B1,4.70,33.33,4.28,23.40,21.62,34.47
20150702,7,大村,6,4328,貞本拓哉,32,広島,62,B2,2.90,9.76,1.89,0.00,36.00,33.80
20150702,8,大村,1,4357,田中和也,30,大阪,53,A1,6.31,47.14,0.00,0.00,27.59,30.77
20150702,8,大村,2,4159,向後龍一,34,埼玉,52,B1,5.89,43.16,6.11,52.63,18.06,35.35
20150702,8,大村,3,4031,飯島誠,36,埼玉,55,A2,5.55,35.25,6.21,50.00,35.53,36.32
20150702,8,大村,4,4422,永井亮次,26,大阪,54,B1,4.69,22.22,5.10,30.00,35.00,32.23
20150702,8,大村,5,3695,安東将,43,山口,50,B2,3.41,4.55,2.57,7.14,40.91,27.59
20150702,8,大村,6,4046,谷村啓司,35,福岡,52,B1,3.55,14.10,3.95,10.53,29.87,30.48
20150702,9,大村,1,3024,西島義則,53,広島,53,A2,7.63,64.29,6.30,43.48,33.78,31.40
20150702,9,大村,2,4625,渡邊裕貴,29,静岡,51,B1,4.06,23.60,0.00,0.00,33.77,34.83
20150702,9,大村,3,3687,花田和明,45,愛知,52,B1,5.65,39.02,0.00,0.00,29.11,43.78
20150702,9,大村,4,4424,松尾昂明,30,福岡,49,A2,6.35,46.10,7.25,59.38,16.95,30.58
