Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率
20150227,1,唐津,1,4177,萬正嗣,32,群馬,52,A1,6.30,46.72,7.10,70.00,51.20,31.55
20150227,1,唐津,2,4315,山崎昂介,30,長崎,53,B1,4.45,27.00,4.16,21.62,21.90,33.50
20150227,1,唐津,3,3471,赤峰和也,45,佐賀,54,B1,5.16,30.10,5.20,27.78,25.22,34.13
20150227,1,唐津,4,3166,谷田昭利,53,香川,55,B1,4.21,20.00,4.00,17.65,15.04,44.83
20150227,1,唐津,5,4768,田代元気,22,福岡,55,B2,1.46,0.00,1.20,0.00,33.85,32.71
20150227,1,唐津,6,4650,中山雄太,30,愛知,51,B1,4.75,26.32,0.00,0.00,34.11,26.78
20150227,2,唐津,1,3986,沖島広和,36,福岡,56,A2,6.57,52.76,7.63,66.67,22.22,38.27
20150227,2,唐津,2,4320,峰竜太,29,佐賀,50,A1,7.44,57.58,8.17,68.32,29.92,32.11
20150227,2,唐津,3,3666,内野省一,44,愛知,53,B1,4.79,19.61,5.00,31.03,46.15,38.42
20150227,2,唐津,4,4698,高山隆成,28,福岡,53,B2,2.37,4.62,2.45,8.16,38.85,32.50
20150227,2,唐津,5,3095,岩津英人,53,岡山,52,B1,5.08,27.45,4.73,18.18,27.42,38.46
20150227,2,唐津,6,4757,山田祐也,25,徳島,53,B1,4.60,29.29,3.00,8.70,26.12,48.33
20150227,3,唐津,1,3452,吉田徳夫,44,愛知,54,A2,5.68,36.43,6.32,42.11,31.11,36.54
20150227,3,唐津,2,2959,高田悌二,56,山口,53,B1,4.65,22.09,4.67,20.00,28.57,33.98
20150227,3,唐津,3,4099,吉永則雄,36,大阪,50,A1,7.17,57.97,4.30,20.00,21.55,36.49
20150227,3,唐津,4,3234,金森史吉,48,香川,53,B1,4.49,21.90,3.88,25.00,41.67,20.43
20150227,3,唐津,5,4755,山田貴愛,26,長崎,55,B2,1.67,0.00,1.57,4.35,42.86,39.41
20150227,3,唐津,6,3587,武田信一,41,徳島,59,B1,5.51,36.96,5.29,38.10,25.90,37.19
20150227,4,唐津,1,3679,飯島昌弘,41,埼玉,53,A1,6.71,45.89,0.00,0.00,32.09,30.92
20150227,4,唐津,2,3989,熊本英一,36,佐賀,55,B1,4.88,30.21,4.15,19.82,20.97,35.71
20150227,4,唐津,3,3631,田添康介,45,長崎,56,A2,5.59,32.98,4.87,19.15,48.87,23.60
20150227,4,唐津,4,4105,松下直也,35,兵庫,51,A2,5.58,35.83,6.10,40.00,39.53,27.23
20150227,4,唐津,5,3594,塚原武之,46,埼玉,57,B1,4.30,19.10,0.00,0.00,28.99,31.03
