Date,会場,Round,着順結果,艇番,選手登番,選手名,モーターNo,ボートNo,展示タイム,進入順位,スタートタイム,レースタイム,試合タイプ,コース距離,天候,風向,風速,波高,決まり手
20150419,大村,1,1,1,4362,土屋智則,60,68,6.96,1,0.11,109.6,一般戦,1800,雨,南東,2,1,逃げ
20150419,大村,1,2,2,4772,石丸海渡,43,19,6.97,2,0.09,111.2,一般戦,1800,雨,南東,2,1,逃げ
20150419,大村,1,3,3,4688,永井彪也,46,73,6.99,3,0.01,112.8,一般戦,1800,雨,南東,2,1,逃げ
20150419,大村,1,4,4,4651,佐藤大騎,36,45,6.91,4,0.05,114.3,一般戦,1800,雨,南東,2,1,逃げ
20150419,大村,1,5,6,4855,江頭賢太,53,52,6.97,6,0.08,NaN,一般戦,1800,雨,南東,2,1,逃げ
20150419,大村,1,6,5,4727,安部慎一,54,49,6.90,5,0.05,NaN,一般戦,1800,雨,南東,2,1,逃げ
20150419,大村,2,1,1,3813,佐藤大介,28,72,7.04,1,0.16,110.3,予選,1800,雨,南,2,1,逃げ
20150419,大村,2,2,3,3501,川上昇平,26,54,6.97,3,0.09,111.9,予選,1800,雨,南,2,1,逃げ
20150419,大村,2,3,2,4706,三浦洋次朗,63,75,7.01,2,0.15,113.3,予選,1800,雨,南,2,1,逃げ
20150419,大村,2,4,4,4633,森智也,73,59,7.06,4,0.09,114.3,予選,1800,雨,南,2,1,逃げ
20150419,大村,2,5,5,4023,柴田友和,51,25,7.02,5,0.14,NaN,予選,1800,雨,南,2,1,逃げ
20150419,大村,2,6,6,4741,中村直喜,55,21,6.96,6,0.09,NaN,予選,1800,雨,南,2,1,逃げ
20150419,大村,3,1,2,3497,後藤浩,66,41,6.97,2,0.16,110.3,予選,1800,雨,南,1,1,まくり
20150419,大村,3,2,3,3888,山本英志,30,76,6.98,3,0.11,111.6,予選,1800,雨,南,1,1,まくり
20150419,大村,3,3,1,4653,小野達哉,72,34,7.02,1,0.28,113.2,予選,1800,雨,南,1,1,まくり
20150419,大村,3,4,4,4376,藤田靖弘,61,33,7.00,4,0.19,114.5,予選,1800,雨,南,1,1,まくり
20150419,大村,3,5,5,3561,池田真治,25,61,7.04,5,0.29,NaN,予選,1800,雨,南,1,1,まくり
20150419,大村,3,6,6,4768,田代元気,35,58,7.07,6,0.27,NaN,予選,1800,雨,南,1,1,まくり
20150419,大村,4,1,2,4659,木下翔太,39,30,7.04,2,0.11,110.6,予選,1800,雨,南,2,1,差し
20150419,大村,4,2,4,4754,松尾充,41,15,6.99,5,0.04,111.4,予選,1800,雨,南,2,1,差し
20150419,大村,4,3,6,3996,秋山直之,62,60,7.05,4,0.16,113.4,予選,1800,雨,南,2,1,差し
20150419,大村,4,4,3,4600,井内将太郎,31,38,6.90,3,0.36,114.9,予選,1800,雨,南,2,1,差し
20150419,大村,4,5,1,4253,西川真人,69,67,7.04,1,0.12,NaN,予選,1800,雨,南,2,1,差し
20150419,大村,4,6,5,4782,浜崎準也,23,70,7.10,6,0.02,NaN,予選,1800,雨,南,2,1,差し
20150419,大村,5,1,1,4002,古結宏,57,66,7.00,1,0.06,111.2,予選,1800,曇り,南,6,5,逃げ
20150419,大村,5,2,2,3843,上之晃弘,34,56,7.04,2,0.11,113.1,予選,1800,曇り,南,6,5,逃げ
20150419,大村,5,3,3,2276,古谷猛,45,14,7.02,3,0.12,114.7,予選,1800,曇り,南,6,5,逃げ
20150419,大村,5,4,6,4727,安部慎一,54,49,6.94,6,0.05,115.0,予選,1800,曇り,南,6,5,逃げ
20150419,大村,5,5,5,4651,佐藤大騎,36,45,7.10,5,0.19,NaN,予選,1800,曇り,南,6,5,逃げ
20150419,大村,5,6,4,3630,黒田誠司,29,35,6.99,4,0.10,NaN,予選,1800,曇り,南,6,5,逃げ
20150419,大村,6,1,3,4637,中田友也,68,43,7.02,3,0.17,109.9,予選,1800,雨,南,3,2,まくり差し
20150419,大村,6,2,5,3918,深井利寿,44,47,7.11,5,0.11,111.2,予選,1800,雨,南,3,2,まくり差し
20150419,大村,6,3,2,4397,西村拓也,40,36,7.04,2,0.12,112.3,予選,1800,雨,南,3,2,まくり差し
20150419,大村,6,4,4,3090,土屋昭,27,55,7.03,4,0.22,114.8,予選,1800,雨,南,3,2,まくり差し
20150419,大村,6,5,1,3121,占部彰二,24,62,7.14,1,0.19,NaN,予選,1800,雨,南,3,2,まくり差し
20150419,大村,6,6,6,4855,江頭賢太,53,52,7.01,6,0.11,NaN,予選,1800,雨,南,3,2,まくり差し
20150419,大村,7,1,1,3276,鈴木貴司,70,53,7.06,1,0.18,111.5,予選,1800,雨,南,4,3,逃げ
20150419,大村,7,2,2,4371,西山貴浩,38,57,7.04,2,0.16,112.8,予選,1800,雨,南,4,3,逃げ
20150419,大村,7,3,4,4140,梶野学志,32,26,7.02,4,0.12,113.4,予選,1800,雨,南,4,3,逃げ
20150419,大村,7,4,3,4023,柴田友和,51,25,7.06,3,0.12,114.9,予選,1800,雨,南,4,3,逃げ
20150419,大村,7,5,6,4754,松尾充,41,15,6.99,6,0.24,NaN,予選,1800,雨,南,4,3,逃げ
20150419,大村,7,6,5,4688,永井彪也,46,73,7.10,5,0.16,NaN,予選,1800,雨,南,4,3,逃げ
20150419,大村,8,1,2,4618,乃村康友,33,18,7.14,2,0.15,110.4,予選,1800,雨,南,4,3,まくり
20150419,大村,8,2,3,3996,秋山直之,62,60,7.13,3,0.21,111.1,予選,1800,雨,南,4,3,まくり
20150419,大村,8,3,6,4177,萬正嗣,64,46,7.14,6,0.19,113.3,予選,1800,雨,南,4,3,まくり
20150419,大村,8,4,5,4000,松本博昭,71,48,7.09,5,0.27,114.0,予選,1800,雨,南,4,3,まくり
20150419,大村,8,5,4,4772,石丸海渡,43,19,7.01,4,0.29,NaN,予選,1800,雨,南,4,3,まくり
20150419,大村,8,6,1,3630,黒田誠司,29,35,7.13,1,0.19,NaN,予選,1800,雨,南,4,3,まくり
20150419,大村,9,1,1,3497,後藤浩,66,41,7.01,1,0.15,111.3,予選,1800,雨,南,4,3,逃げ
20150419,大村,9,2,4,3843,上之晃弘,34,56,6.98,4,0.22,113.3,予選,1800,雨,南,4,3,逃げ
20150419,大村,9,3,3,4633,森智也,73,59,7.04,3,0.13,114.9,予選,1800,雨,南,4,3,逃げ
20150419,大村,9,4,2,4787,椎名豊,65,51,6.95,2,0.15,115.9,予選,1800,雨,南,4,3,逃げ
20150419,大村,9,5,5,3090,土屋昭,27,55,7.01,5,0.22,NaN,予選,1800,雨,南,4,3,逃げ
20150419,大村,9,6,6,4782,浜崎準也,23,70,7.12,6,0.13,NaN,予選,1800,雨,南,4,3,逃げ
20150419,大村,10,1,1,4140,梶野学志,32,26,7.15,1,0.06,110.3,一般戦,1800,雨,南,5,4,抜き
20150419,大村,10,2,5,4637,中田友也,68,43,7.08,5,0.13,111.7,一般戦,1800,雨,南,5,4,抜き
20150419,大村,10,3,2,4002,古結宏,57,66,7.02,2,0.18,113.3,一般戦,1800,雨,南,5,4,抜き
20150419,大村,10,4,6,3553,平池仁志,22,22,7.17,6,0.17,113.6,一般戦,1800,雨,南,5,4,抜き
20150419,大村,10,5,4,3501,川上昇平,26,54,7.01,4,0.11,NaN,一般戦,1800,雨,南,5,4,抜き
20150419,大村,10,6,3,4253,西川真人,69,67,7.12,3,0.14,NaN,一般戦,1800,雨,南,5,4,抜き
20150419,大村,11,1,1,4397,西村拓也,40,36,7.01,1,0.30,109.1,一般戦,1800,雨,南,4,3,逃げ
20150419,大村,11,2,5,4686,丸野一樹,48,11,7.10,5,0.15,111.7,一般戦,1800,雨,南,4,3,逃げ
20150419,大村,11,3,6,3888,山本英志,30,76,7.12,6,0.14,112.6,一般戦,1800,雨,南,4,3,逃げ
20150419,大村,11,4,4,4659,木下翔太,39,30,7.03,4,0.18,113.9,一般戦,1800,雨,南,4,3,逃げ
20150419,大村,11,5,3,4177,萬正嗣,64,46,7.10,3,0.24,NaN,一般戦,1800,雨,南,4,3,逃げ
20150419,大村,11,6,2,4702,三浦敬太,37,20,6.95,2,0.25,NaN,一般戦,1800,雨,南,4,3,逃げ
20150419,大村,12,1,2,4362,土屋智則,60,68,7.03,2,0.17,110.2,一般戦,1800,雨,南,2,1,抜き
20150419,大村,12,2,4,4000,松本博昭,71,48,7.00,4,0.12,111.0,一般戦,1800,雨,南,2,1,抜き
20150419,大村,12,3,6,4376,藤田靖弘,61,33,6.96,6,0.33,113.1,一般戦,1800,雨,南,2,1,抜き
20150419,大村,12,4,5,4600,井内将太郎,31,38,7.01,5,0.07,113.5,一般戦,1800,雨,南,2,1,抜き
20150419,大村,12,5,1,4371,西山貴浩,38,57,7.05,1,0.17,NaN,一般戦,1800,雨,南,2,1,抜き
20150419,大村,12,6,3,3918,深井利寿,44,47,7.07,3,0.12,NaN,一般戦,1800,雨,南,2,1,抜き
20150419,唐津,1,1,1,3612,馬袋義則,46,47,6.68,1,0.12,110.1,予選,1800,雨,南,5,5,逃げ
20150419,唐津,1,2,3,4327,加藤翔,19,66,6.69,3,0.19,110.7,予選,1800,雨,南,5,5,逃げ
20150419,唐津,1,3,6,4380,鈴木峻佑,17,90,6.72,4,0.16,111.8,予選,1800,雨,南,5,5,逃げ
20150419,唐津,1,4,5,4805,今林由喜,65,51,6.72,6,0.19,113.4,予選,1800,雨,南,5,5,逃げ
