Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率
20151009,1,大村,1,4008,中尾誠,36,佐賀,50,A1,6.26,45.30,5.13,18.75,45.52,19.61
20151009,1,大村,2,3843,上之晃弘,39,長崎,53,B1,5.43,34.04,6.59,49.68,27.86,47.27
20151009,1,大村,3,4121,富永修一,33,福岡,52,B1,5.17,30.49,4.29,23.53,25.40,22.00
20151009,1,大村,4,4748,渡邉雄朗,29,東京,53,B1,4.86,30.14,3.67,6.67,27.27,42.86
20151009,1,大村,5,4248,岡本大,33,長崎,57,B2,3.84,15.79,4.76,21.35,30.00,37.25
20151009,1,大村,6,3085,川名稔,55,東京,51,B1,4.82,26.15,5.60,28.00,21.95,29.09
20151009,2,大村,1,3713,伊藤誠二,41,愛知,54,A2,6.27,46.56,6.26,52.63,38.13,31.82
20151009,2,大村,2,3796,長野道臣,42,静岡,53,B1,4.40,22.50,0.00,0.00,28.37,35.29
20151009,2,大村,3,4752,西尾亮輔,27,愛知,50,B1,3.66,8.86,0.00,0.00,41.73,29.09
20151009,2,大村,4,3108,松本真吾,51,徳島,49,B1,4.27,18.89,4.62,17.65,34.59,25.49
20151009,2,大村,5,3527,中嶋誠一,44,長崎,51,A1,6.01,41.04,6.58,50.00,34.35,29.63
20151009,2,大村,6,3090,土屋昭,54,東京,49,B1,4.14,16.46,4.83,33.33,40.00,36.36
20151009,3,大村,1,4143,浦田晃嗣,34,佐賀,58,A2,4.79,26.04,5.15,37.04,23.08,33.93
20151009,3,大村,2,4511,中岡健人,26,香川,57,B1,3.84,14.29,5.86,30.95,56.93,16.00
20151009,3,大村,3,4506,稗田聖也,27,福岡,51,B1,5.72,42.00,5.49,35.56,20.91,37.74
20151009,3,大村,4,4747,山戸信二,30,長崎,52,B2,2.54,6.78,2.07,4.21,30.28,48.00
20151009,3,大村,5,4768,田代元気,23,福岡,51,B2,1.31,0.00,1.37,0.00,39.86,35.71
20151009,3,大村,6,3995,重野哲之,36,静岡,53,A1,6.82,53.28,8.30,65.00,29.57,29.82
