Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率
20160101,1,大村,1,3307,上瀧和則,47,佐賀,53,B2,0.00,0.00,0.00,0.00,37.30,39.18
20160101,1,大村,2,3818,山崎康弘,44,長崎,56,B1,4.09,18.95,3.96,19.83,37.82,23.66
20160101,1,大村,3,2505,小泉秀人,64,長崎,50,B1,3.07,6.67,3.93,14.56,33.70,38.14
20160101,1,大村,4,4729,佐藤謙史,26,福岡,55,B2,2.59,6.35,1.76,0.00,39.79,34.02
20160101,1,大村,5,3972,富永恭史,39,長崎,58,B2,2.77,0.00,2.66,1.69,40.72,48.48
20160101,1,大村,6,4755,山田貴愛,27,長崎,52,B2,2.33,5.17,1.46,0.00,34.05,31.63
20160101,2,大村,1,4259,真庭明志,31,長崎,52,A1,6.36,44.64,6.37,50.61,38.04,19.77
20160101,2,大村,2,3571,寺本武司,44,長崎,53,B1,3.78,16.25,4.85,25.93,36.22,32.00
20160101,2,大村,3,4202,浮田圭浩,33,岡山,53,B1,5.17,29.79,5.30,34.88,29.41,34.31
20160101,2,大村,4,3843,上之晃弘,39,長崎,53,B1,5.23,30.23,6.60,49.07,29.28,32.99
20160101,2,大村,5,4007,榮田将彦,36,山口,49,B1,4.20,23.81,4.53,21.88,33.69,30.77
20160101,2,大村,6,4315,山崎昂介,31,長崎,53,B1,4.84,25.81,4.95,28.00,28.03,31.63
20160101,3,大村,1,3998,冨成謙児,36,佐賀,51,A2,5.46,36.23,4.85,24.39,35.87,21.18
20160101,3,大村,2,3820,樫葉次郎,43,徳島,58,B1,4.56,24.72,5.62,34.48,44.85,49.04
20160101,3,大村,3,3777,樋口亮,40,長崎,51,A1,6.60,51.28,7.62,64.06,34.38,28.42
20160101,3,大村,4,3527,中嶋誠一,44,長崎,51,A1,5.80,37.25,6.60,50.57,37.97,44.33
20160101,3,大村,5,4603,谷川将太,27,長崎,52,B2,4.19,17.24,4.07,15.47,29.11,36.89
20160101,3,大村,6,3892,草場康幸,39,佐賀,52,A2,6.01,44.78,6.59,54.55,32.99,42.00
20160101,4,大村,1,4009,小林一樹,36,山口,56,A2,4.92,26.67,6.89,55.56,27.12,38.14
20160101,4,大村,2,4390,松本弓雄,29,徳島,52,B1,3.94,13.83,3.20,13.33,33.16,48.51
20160101,4,大村,3,3979,杉本洋一,38,山口,51,B1,3.92,19.74,4.00,10.00,33.84,24.71
