Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率
20150915,1,唐津,1,3662,大庭元明,45,福岡,55,A1,6.65,49.59,7.02,54.55,24.14,38.04
20150915,1,唐津,2,4315,山崎昂介,31,長崎,52,B1,4.84,28.57,3.53,17.65,37.93,26.80
20150915,1,唐津,3,3974,深山祐二,38,佐賀,52,B1,4.57,28.42,4.48,25.86,24.14,29.89
20150915,1,唐津,4,4161,黒柳浩孝,33,愛知,56,B1,4.46,27.71,5.71,42.86,36.67,32.32
20150915,1,唐津,5,4508,野間大樹,26,大阪,52,B1,4.69,26.92,2.45,9.09,32.14,38.30
20150915,1,唐津,6,4741,中村直喜,23,福岡,50,B2,2.06,1.39,1.95,1.82,24.00,31.71
20150915,2,唐津,1,3985,内田貴士,37,静岡,55,A2,4.93,32.74,5.43,30.43,39.29,40.66
20150915,2,唐津,2,3499,市川哲也,46,広島,49,A1,6.49,41.82,8.58,79.17,57.89,42.70
20150915,2,唐津,3,4383,竹田吉行,30,徳島,52,B1,4.57,25.29,3.84,20.00,22.22,30.00
20150915,2,唐津,4,3807,岡部哲,40,埼玉,50,B1,4.97,21.35,4.60,20.00,32.14,34.41
20150915,2,唐津,5,4632,長尾京志,26,福岡,49,B2,0.00,0.00,3.00,12.24,60.71,39.36
20150915,2,唐津,6,4777,五十嵐一,31,山口,50,B2,3.10,10.00,3.00,7.14,11.11,32.67
20150915,3,唐津,1,3663,木山和幸,45,広島,49,A2,5.73,40.74,5.47,33.33,22.22,33.33
20150915,3,唐津,2,2276,古谷猛,65,岡山,49,B1,4.28,24.73,4.81,29.03,40.00,33.71
20150915,3,唐津,3,4297,山田哲也,32,東京,50,A1,7.48,57.02,0.00,0.00,46.67,34.95
20150915,3,唐津,4,4495,森晋太郎,28,福岡,54,B1,5.25,40.26,4.09,17.39,16.67,42.57
20150915,3,唐津,5,4299,中島浩哉,32,長崎,58,B1,4.41,18.42,4.03,18.42,28.57,44.79
20150915,3,唐津,6,4727,安部慎一,28,福岡,52,B2,2.81,9.62,2.61,4.88,42.86,26.21
20150915,4,唐津,1,3656,伯母芳恒,41,東京,54,A1,6.10,45.37,3.78,22.22,40.00,26.67
20150915,4,唐津,2,2776,三谷征伸,62,大阪,53,B1,3.82,12.50,4.50,30.00,16.67,26.44
20150915,4,唐津,3,4395,下河雅史,29,福岡,53,B1,5.16,30.70,5.44,32.00,24.14,38.24
20150915,4,唐津,4,4467,渡邉俊介,29,愛知,50,A2,6.59,52.33,6.73,63.64,24.00,21.59
20150915,4,唐津,5,3684,清水攻二,41,山口,52,A2,5.95,41.00,6.39,41.94,43.33,41.30
20150915,4,唐津,6,2903,山崎毅,56,福岡,49,B2,6.00,40.74,6.49,48.94,30.77,15.73
20150915,5,唐津,1,3382,岩谷真,46,東京,51,A2,5.68,42.11,0.00,0.00,30.00,47.37
20150915,5,唐津,2,3998,冨成謙児,36,佐賀,50,A2,5.38,33.33,5.50,38.41,27.59,38.71
