Date,会場,Round,着順結果,艇番,選手登番,選手名,モーターNo,ボートNo,展示タイム,進入順位,スタートタイム,レースタイム,試合タイプ,コース距離,天候,風向,風速,波高,決まり手
20151020,福岡,1,1,1,4684,楠原翔太,49,151,6.83,1,0.16,110.7,一般戦,1800,晴,北,2,2,逃げ
20151020,福岡,1,2,3,4759,今泉友吾,57,150,6.87,3,0.16,111.7,一般戦,1800,晴,北,2,2,逃げ
20151020,福岡,1,3,2,4603,谷川将太,50,156,6.86,2,0.17,113.0,一般戦,1800,晴,北,2,2,逃げ
20151020,福岡,1,4,4,3829,落合純,59,121,6.93,4,0.15,114.7,一般戦,1800,晴,北,2,2,逃げ
20151020,福岡,1,5,6,4516,野口勝弘,37,125,6.85,6,0.09,NaN,一般戦,1800,晴,北,2,2,逃げ
20151020,福岡,1,6,5,3864,小島大輔,74,107,6.95,5,0.15,NaN,一般戦,1800,晴,北,2,2,逃げ
20151020,福岡,2,1,4,4188,久田敏之,42,126,6.88,4,0.08,109.8,一般戦,1800,晴,北,2,2,抜き
20151020,福岡,2,2,1,4164,岩永節也,46,167,6.78,1,0.09,110.8,一般戦,1800,晴,北,2,2,抜き
20151020,福岡,2,3,2,4439,近藤友宝,52,159,6.89,2,0.14,113.5,一般戦,1800,晴,北,2,2,抜き
20151020,福岡,2,4,3,3583,齋藤智裕,64,149,6.96,3,0.17,114.6,一般戦,1800,晴,北,2,2,抜き
20151020,福岡,2,5,6,2841,吉田稔,15,119,6.91,5,0.09,NaN,一般戦,1800,晴,北,2,2,抜き
20151020,福岡,2,6,5,4027,松江秀徳,62,162,6.91,6,0.10,NaN,一般戦,1800,晴,北,2,2,抜き
20151020,福岡,3,1,4,3703,鳥飼眞,35,165,6.86,4,0.21,110.8,一般戦,1800,晴,北,2,2,まくり
20151020,福岡,3,2,2,3771,折下寛法,30,146,6.89,2,0.20,111.2,一般戦,1800,晴,北,2,2,まくり
20151020,福岡,3,3,6,3827,今泉徹,14,109,6.94,6,0.23,113.0,一般戦,1800,晴,北,2,2,まくり
20151020,福岡,3,4,5,4184,渡邊雄一郎,26,110,6.86,5,0.20,113.7,一般戦,1800,晴,北,2,2,まくり
20151020,福岡,3,5,1,4217,栩本佑介,32,160,6.87,1,0.16,NaN,一般戦,1800,晴,北,2,2,まくり
20151020,福岡,3,6,3,4416,三宅健太,45,161,6.89,3,0.26,NaN,一般戦,1800,晴,北,2,2,まくり
20151020,福岡,4,1,1,3473,石川真二,28,115,6.87,1,0.15,109.6,一般戦,1800,晴,北,2,2,逃げ
20151020,福岡,4,2,2,3890,小宮淳史,70,106,6.91,2,0.17,111.4,一般戦,1800,晴,北,2,2,逃げ
20151020,福岡,4,3,5,3593,横井光弘,18,135,6.94,5,0.23,112.3,一般戦,1800,晴,北,2,2,逃げ
20151020,福岡,4,4,3,4119,泥谷一毅,27,170,6.89,3,0.17,113.3,一般戦,1800,晴,北,2,2,逃げ
20151020,福岡,4,5,6,3947,寺本昇平,44,164,6.89,6,0.22,NaN,一般戦,1800,晴,北,2,2,逃げ
20151020,福岡,4,6,4,3648,原田通雅,61,131,6.93,4,0.21,NaN,一般戦,1800,晴,北,2,2,逃げ
20151020,福岡,5,1,4,3978,齊藤仁,69,133,6.92,5,0.18,109.6,一般戦,1800,晴,北,2,2,まくり差し
20151020,福岡,5,2,2,4684,楠原翔太,49,151,6.91,2,0.26,110.9,一般戦,1800,晴,北,2,2,まくり差し
20151020,福岡,5,3,6,4155,長野壮志郎,56,117,6.88,6,0.15,113.2,一般戦,1800,晴,北,2,2,まくり差し
