,Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率,展示タイム,スタートタイム
1,20231021,8,宮島,2,3710,吉永泰弘,49,香川,53,B1,5.39,33.04,4.51,25.40,0.00,0.00,6.99,0.2
2,20231021,8,宮島,3,3615,横田茂,50,広島,51,B1,4.47,25.58,5.31,33.09,0.00,0.00,6.99,0.2
3,20231021,8,宮島,4,3647,伊藤雄二,50,埼玉,49,B1,4.22,18.18,0.00,0.00,0.00,0.00,6.99,0.2
4,20231021,8,宮島,5,4446,和田兼輔,36,兵庫,53,A1,5.76,33.01,6.38,37.50,0.00,0.00,6.99,0.2
5,20231021,8,宮島,6,4973,栗原直也,31,埼玉,52,A2,3.63,14.67,0.00,0.00,0.00,0.00,6.99,0.2
0,20231021,9,宮島,1,3919,村上純,48,岡山,53,A2,4.89,28.89,4.52,35.48,0.00,0.00,6.99,0.2
1,20231021,9,宮島,2,3663,木山和幸,53,広島,50,B1,5.74,41.60,5.17,37.69,0.00,0.00,6.99,0.2
2,20231021,9,宮島,3,3701,大西隆洋,50,香川,59,B1,3.67,16.28,4.00,19.23,0.00,0.00,6.99,0.2
3,20231021,9,宮島,4,4260,中越博紀,39,香川,53,A2,5.84,37.63,5.76,41.27,0.00,0.00,6.99,0.2
4,20231021,9,宮島,5,4422,永井亮次,35,大阪,52,B1,3.90,18.99,4.59,24.32,0.00,0.00,6.99,0.2
5,20231021,9,宮島,6,5278,田中駿兵,21,徳島,52,B2,3.18,13.89,3.22,11.11,0.00,0.00,6.99,0.2
0,20231021,10,宮島,1,4652,酒見峻介,38,佐賀,51,A2,5.68,38.18,4.78,22.22,0.00,0.00,6.99,0.2
1,20231021,10,宮島,2,3717,立間充宏,48,岡山,55,A1,6.50,52.89,6.66,50.75,0.00,0.00,6.99,0.2
2,20231021,10,宮島,3,4580,長谷川雅,34,岡山,53,A2,5.43,36.03,6.04,46.15,0.00,0.00,6.99,0.2
3,20231021,10,宮島,4,4376,藤田靖弘,39,静岡,51,A1,5.93,38.10,5.38,32.50,0.00,0.00,6.99,0.2
4,20231021,10,宮島,5,4079,出畑孝典,44,福岡,52,A2,6.13,43.69,5.82,41.18,0.00,0.00,6.99,0.2
5,20231021,10,宮島,6,3473,石川真二,53,福岡,53,A2,6.81,55.40,6.43,52.38,0.00,0.00,6.99,0.2
0,20231021,11,宮島,1,4610,佐藤大佑,33,東京,54,A1,6.61,49.56,8.36,81.82,0.00,0.00,6.99,0.2
1,20231021,11,宮島,2,3737,上平真二,49,広島,52,A1,6.96,47.06,7.80,58.18,0.00,0.00,6.99,0.2
2,20231021,11,宮島,3,4839,四宮与寛,33,徳島,52,B1,6.38,46.34,6.00,30.00,0.00,0.00,6.99,0.2
3,20231021,11,宮島,4,3745,橋本年光,48,兵庫,55,A2,5.92,38.53,5.50,31.58,0.00,0.00,6.99,0.2
4,20231021,11,宮島,5,4391,松田祐季,37,福井,54,A1,6.70,49.58,6.43,46.67,0.00,0.00,6.99,0.2
5,20231021,11,宮島,6,4946,船越健吾,31,香川,52,B1,4.28,22.35,5.54,35.71,0.00,0.00,6.99,0.2
0,20231021,12,宮島,1,3654,武田光史,50,福井,53,A2,6.74,44.92,6.06,41.18,0.00,0.00,6.99,0.2
1,20231021,12,宮島,2,4446,和田兼輔,36,兵庫,53,A1,5.76,33.01,6.38,37.50,0.00,0.00,6.99,0.2
2,20231021,12,宮島,3,3963,原田秀弥,44,大阪,54,B1,5.32,34.35,6.79,53.57,0.00,0.00,6.99,0.2
3,20231021,12,宮島,4,4099,吉永則雄,44,大阪,52,A2,6.59,46.88,6.35,40.00,0.00,0.00,6.99,0.2
4,20231021,12,宮島,5,3905,天野友和,46,愛知,54,A1,6.11,44.26,5.22,29.63,0.00,0.00,6.99,0.2
5,20231021,12,宮島,6,5142,常住蓮,22,佐賀,50,A1,5.78,39.19,5.39,30.30,0.00,0.00,6.99,0.2
0,20231021,1,丸亀,1,5175,島崎丈一,19,東京,53,B1,3.62,13.59,0.00,0.00,58.82,34.38,6.99,0.2
1,20231021,1,丸亀,2,4981,牧山敦也,27,佐賀,53,B1,4.59,23.01,6.64,54.55,31.25,29.03,6.99,0.2
2,20231021,1,丸亀,3,5110,杉山喜一,24,静岡,50,B1,4.15,20.83,4.68,18.18,0.00,25.93,6.99,0.2
3,20231021,1,丸亀,4,5263,花田凱成,25,福岡,52,B2,1.98,3.19,0.00,0.00,16.67,31.25,6.99,0.2
4,20231021,1,丸亀,5,5032,谷口知優,25,香川,53,B1,5.11,31.96,4.55,28.43,18.75,19.23,6.99,0.2
5,20231021,1,丸亀,6,5223,森清友翔,22,福岡,54,B2,1.94,0.00,2.06,0.00,27.27,32.26,6.99,0.2
0,20231021,2,丸亀,1,5046,松山裕基,29,大阪,54,B1,4.84,28.57,0.00,0.00,33.33,41.38,6.99,0.2
1,20231021,2,丸亀,2,5007,近藤雄一,27,東京,52,B1,4.35,24.21,0.00,0.00,40.00,45.83,6.99,0.2
2,20231021,2,丸亀,3,5043,中村日向,24,香川,52,A1,6.01,42.86,5.83,45.45,37.50,21.21,6.99,0.2
3,20231021,2,丸亀,4,5058,前原大道,27,岡山,53,A2,6.19,43.70,4.70,30.00,20.00,35.14,6.99,0.2
4,20231021,2,丸亀,5,5181,森智哉,25,岡山,50,B1,3.86,16.46,3.06,12.90,30.00,25.81,6.99,0.2
5,20231021,2,丸亀,6,5255,藤原仙二,19,滋賀,54,B1,4.03,13.39,3.38,15.38,87.50,25.71,6.99,0.2
0,20231021,3,丸亀,1,5006,久保原秀,27,群馬,55,B1,3.68,15.22,0.00,0.00,35.71,29.41,6.99,0.2
1,20231021,3,丸亀,2,5136,濱野斗馬,23,香川,53,A2,6.44,48.87,5.07,32.24,52.63,25.93,6.99,0.2
2,20231021,3,丸亀,3,4977,馬野耀,29,大阪,54,A2,5.05,29.79,7.10,55.00,18.75,32.26,6.99,0.2
3,20231021,3,丸亀,4,5257,西丸侑太,19,香川,52,B1,2.65,3.31,1.85,0.00,30.00,45.16,6.99,0.2
4,20231021,3,丸亀,5,5246,楠将太郎,21,埼玉,53,B1,2.66,5.75,0.00,0.00,38.89,37.50,6.99,0.2
5,20231021,3,丸亀,6,5152,丸山祐也,28,福岡,50,B1,3.47,15.56,1.13,0.00,72.73,31.03,6.99,0.2
0,20231021,4,丸亀,1,5014,梶山涼斗,25,佐賀,53,B1,4.42,16.16,4.00,22.22,16.67,37.14,6.99,0.2
1,20231021,4,丸亀,2,5029,中亮太,26,福岡,53,A2,5.74,44.26,7.86,71.43,57.14,18.52,6.99,0.2
2,20231021,4,丸亀,3,4776,竹田和哉,29,香川,53,A1,6.45,43.75,6.77,47.54,30.00,41.18,6.99,0.2
3,20231021,4,丸亀,4,5022,伊藤尚汰,28,福岡,50,B1,4.03,20.00,1.17,0.00,55.00,31.43,6.99,0.2
4,20231021,4,丸亀,5,5267,石本裕武,23,大阪,52,B1,5.70,44.58,6.31,53.85,45.00,29.03,6.99,0.2
5,20231021,4,丸亀,6,5214,田中宏典,24,佐賀,59,B2,2.48,1.37,1.30,0.00,21.74,31.43,6.99,0.2
0,20231021,5,丸亀,1,4872,山下流心,30,広島,52,A2,5.76,40.71,4.93,26.83,30.00,32.43,6.99,0.2
1,20231021,5,丸亀,2,5112,砂長知輝,24,埼玉,52,A2,5.46,39.29,5.61,38.89,55.00,44.44,6.99,0.2
2,20231021,5,丸亀,3,5032,谷口知優,25,香川,53,B1,5.11,31.96,4.55,28.43,18.75,19.23,6.99,0.2
3,20231021,5,丸亀,4,4983,前田篤哉,26,愛知,51,A1,6.19,42.36,5.93,42.50,50.00,25.93,6.99,0.2
4,20231021,5,丸亀,5,5298,水谷理人,21,香川,52,B2,2.50,3.64,2.56,2.78,50.00,29.03,6.99,0.2
5,20231021,5,丸亀,6,4978,山田和佐,29,広島,53,B1,3.96,18.09,4.30,20.00,28.57,34.78,6.99,0.2
0,20231021,6,丸亀,1,5028,原田才一,27,福岡,52,A1,5.66,38.81,6.20,40.00,6.67,32.26,6.99,0.2
1,20231021,6,丸亀,2,5175,島崎丈一,19,東京,53,B1,3.62,13.59,0.00,0.00,58.82,34.38,6.99,0.2
2,20231021,6,丸亀,3,4980,佐々木完,27,山口,52,A1,6.71,52.34,4.90,40.00,41.18,33.33,6.99,0.2
3,20231021,6,丸亀,4,5037,田頭虎親,25,香川,52,A2,5.43,36.96,5.12,32.43,25.00,28.13,6.99,0.2
4,20231021,6,丸亀,5,5255,藤原仙二,19,滋賀,54,B1,4.03,13.39,3.38,15.38,87.50,25.71,6.99,0.2
5,20231021,6,丸亀,6,5133,堀越雄貴,24,東京,51,B1,4.69,25.62,3.80,20.00,37.50,37.93,6.99,0.2
0,20231021,7,丸亀,1,4985,井本昌也,26,山口,50,A1,6.24,46.26,4.73,31.82,41.18,33.33,6.99,0.2
1,20231021,7,丸亀,2,5181,森智哉,25,岡山,50,B1,3.86,16.46,3.06,12.90,30.00,25.81,6.99,0.2
2,20231021,7,丸亀,3,4850,野中一平,29,愛知,52,A2,6.92,55.91,5.96,39.29,50.00,39.29,6.99,0.2
3,20231021,7,丸亀,4,4981,牧山敦也,27,佐賀,53,B1,4.59,23.01,6.64,54.55,31.25,29.03,6.99,0.2
4,20231021,7,丸亀,5,5257,西丸侑太,19,香川,52,B1,2.65,3.31,1.85,0.00,30.00,45.16,6.99,0.2
5,20231021,7,丸亀,6,5042,畑田汰一,24,埼玉,53,A2,6.39,47.52,0.00,0.00,25.00,32.26,6.99,0.2
0,20231021,8,丸亀,1,5017,澤田尚也,24,滋賀,52,A1,6.92,53.28,6.50,50.00,15.00,7.41,6.99,0.2
1,20231021,8,丸亀,2,5034,若林義人,25,静岡,54,A2,6.04,40.54,3.67,16.67,30.00,44.12,6.99,0.2
2,20231021,8,丸亀,3,5246,楠将太郎,21,埼玉,53,B1,2.66,5.75,0.00,0.00,38.89,37.50,6.99,0.2
3,20231021,8,丸亀,4,5029,中亮太,26,福岡,53,A2,5.74,44.26,7.86,71.43,57.14,18.52,6.99,0.2
4,20231021,8,丸亀,5,5170,佐藤太亮,22,岡山,51,B1,4.66,25.23,2.00,0.00,40.91,31.58,6.99,0.2
5,20231021,8,丸亀,6,5263,花田凱成,25,福岡,52,B2,1.98,3.19,0.00,0.00,16.67,31.25,6.99,0.2
0,20231021,9,丸亀,1,4852,川原祐明,28,香川,51,A1,6.81,51.08,6.15,42.65,13.33,8.00,6.99,0.2
1,20231021,9,丸亀,2,5095,小原聡将,29,東京,52,A2,5.68,37.00,0.00,0.00,40.91,31.43,6.99,0.2
2,20231021,9,丸亀,3,5022,伊藤尚汰,28,福岡,50,B1,4.03,20.00,1.17,0.00,55.00,31.43,6.99,0.2
3,20231021,9,丸亀,4,5006,久保原秀,27,群馬,55,B1,3.68,15.22,0.00,0.00,35.71,29.41,6.99,0.2
4,20231021,9,丸亀,5,4992,廣瀬篤哉,26,滋賀,56,B1,4.97,31.63,3.61,17.39,38.10,39.47,6.99,0.2
5,20231021,9,丸亀,6,4950,高岡竜也,30,山口,53,A2,5.59,36.80,4.28,27.78,35.29,46.88,6.99,0.2
0,20231021,10,丸亀,1,4776,竹田和哉,29,香川,53,A1,6.45,43.75,6.77,47.54,30.00,41.18,6.99,0.2
1,20231021,10,丸亀,2,5037,田頭虎親,25,香川,52,A2,5.43,36.96,5.12,32.43,25.00,28.13,6.99,0.2
2,20231021,10,丸亀,3,4983,前田篤哉,26,愛知,51,A1,6.19,42.36,5.93,42.50,50.00,21.21,6.99,0.2
3,20231021,10,丸亀,4,5007,近藤雄一,27,東京,52,B1,4.35,24.21,0.00,0.00,40.00,45.83,6.99,0.2
4,20231021,10,丸亀,5,5223,森清友翔,22,福岡,54,B2,1.94,0.00,2.06,0.00,27.27,32.26,6.99,0.2
5,20231021,10,丸亀,6,5217,藤原碧生,23,岡山,53,B1,5.32,34.41,5.89,44.44,41.18,45.16,6.99,0.2
0,20231021,11,丸亀,1,4980,佐々木完,27,山口,52,A1,6.71,52.34,4.90,40.00,41.18,33.33,6.99,0.2
1,20231021,11,丸亀,2,4872,山下流心,30,広島,52,A2,5.76,40.71,4.93,26.83,30.00,32.43,6.99,0.2
2,20231021,11,丸亀,3,5267,石本裕武,23,大阪,52,B1,5.70,44.58,6.31,53.85,45.00,29.03,6.99,0.2
3,20231021,11,丸亀,4,5042,畑田汰一,24,埼玉,53,A2,6.39,47.52,0.00,0.00,25.00,32.26,6.99,0.2
4,20231021,11,丸亀,5,5136,濱野斗馬,23,香川,53,A2,6.44,48.87,5.07,32.24,52.63,25.93,6.99,0.2
5,20231021,11,丸亀,6,5043,中村日向,24,香川,52,A1,6.01,42.86,5.83,45.45,37.50,21.21,6.99,0.2
0,20231021,12,丸亀,1,4850,野中一平,29,愛知,52,A2,6.92,55.91,5.96,39.29,50.00,39.29,6.99,0.2
1,20231021,12,丸亀,2,5058,前原大道,27,岡山,53,A2,6.19,43.70,4.70,30.00,20.00,35.14,6.99,0.2
2,20231021,12,丸亀,3,5028,原田才一,27,福岡,52,A1,5.66,38.81,6.20,40.00,6.67,32.26,6.99,0.2
3,20231021,12,丸亀,4,5017,澤田尚也,24,滋賀,52,A1,6.92,53.28,6.50,50.00,15.00,7.41,6.99,0.2
4,20231021,12,丸亀,5,4977,馬野耀,29,大阪,54,A2,5.05,29.79,7.10,55.00,18.75,32.26,6.99,0.2
5,20231021,12,丸亀,6,5298,水谷理人,21,香川,52,B2,2.50,3.64,2.56,2.78,50.00,29.03,6.99,0.2
0,20231021,1,鳴門,1,3788,一宮稔弘,52,徳島,53,A1,5.84,35.90,6.50,49.59,31.09,34.15,6.99,0.2
1,20231021,1,鳴門,2,4866,橋本英一,33,福岡,55,B1,4.44,23.81,4.25,0.00,30.40,26.89,6.99,0.2
2,20231021,1,鳴門,3,4987,島倉都,26,群馬,48,B1,4.27,20.63,3.83,16.67,27.78,28.32,6.99,0.2
3,20231021,1,鳴門,4,3950,石川哲秀,47,大阪,54,B1,4.26,27.17,4.58,21.05,34.92,21.43,6.99,0.2
4,20231021,1,鳴門,5,4986,西山祐希,26,兵庫,53,B1,3.75,17.50,3.43,14.29,33.33,40.60,6.99,0.2
5,20231021,1,鳴門,6,4733,赤井睦,34,徳島,47,B2,4.65,33.87,4.52,31.15,28.80,43.08,6.99,0.2
0,20231021,2,鳴門,1,3349,吉田一郎,55,長崎,51,A2,5.40,34.68,6.84,57.89,33.87,31.30,6.99,0.2
1,20231021,2,鳴門,2,4360,庄司孝輔,39,静岡,54,B1,5.46,37.50,0.00,0.00,43.65,41.41,6.99,0.2
2,20231021,2,鳴門,3,4762,藤原啓史,33,岡山,49,A1,7.42,53.33,6.93,64.29,38.02,33.86,6.99,0.2
3,20231021,2,鳴門,4,5171,清水未唯,22,滋賀,53,B1,3.91,19.57,3.55,14.89,34.43,36.43,6.99,0.2
4,20231021,2,鳴門,5,3641,一瀬明,52,東京,52,A2,6.13,45.73,7.24,56.00,35.19,20.34,6.99,0.2
5,20231021,2,鳴門,6,3998,冨成謙児,44,佐賀,53,B1,4.37,28.16,5.30,36.17,24.60,28.45,6.99,0.2
0,20231021,3,鳴門,1,4057,松井賢治,44,兵庫,52,A1,5.81,37.86,6.03,45.00,41.27,45.16,6.99,0.2
1,20231021,3,鳴門,2,4840,鈴木秀茉,32,静岡,51,B1,4.16,25.00,0.00,0.00,30.65,34.48,6.99,0.2
2,20231021,3,鳴門,3,4196,田中太一,41,佐賀,52,B1,4.22,23.40,4.38,26.67,29.60,31.15,6.99,0.2
3,20231021,3,鳴門,4,3347,矢後剛,56,東京,56,A2,4.81,21.01,0.00,0.00,34.71,33.33,6.99,0.2
4,20231021,3,鳴門,5,5218,山田理央,23,香川,47,B1,4.24,22.22,3.75,25.00,33.33,29.91,6.99,0.2
5,20231021,3,鳴門,6,3304,烏野賢太,55,徳島,52,A2,5.76,38.79,6.25,43.81,37.29,34.68,6.99,0.2
0,20231021,4,鳴門,1,4069,山本修一,43,岡山,53,A1,6.71,49.00,6.89,55.56,45.90,25.66,6.99,0.2
1,20231021,4,鳴門,2,4122,安東幸治,41,福岡,55,A2,5.97,41.61,5.41,35.29,39.20,22.81,6.99,0.2
2,20231021,4,鳴門,3,4790,柳内敬太,34,兵庫,52,A2,5.89,44.27,6.05,45.24,32.09,30.25,6.99,0.2
3,20231021,4,鳴門,4,5069,山崎小葉,23,群馬,43,B1,4.51,29.27,3.47,5.88,29.23,34.85,6.99,0.2
4,20231021,4,鳴門,5,4889,後藤盛也,34,東京,52,B1,5.71,42.86,5.32,36.84,34.96,35.94,6.99,0.2
5,20231021,4,鳴門,6,3501,川上昇平,54,長崎,54,B1,4.50,19.57,4.72,27.78,33.07,35.34,6.99,0.2
0,20231021,5,鳴門,1,4054,福嶋智之,45,岡山,51,B1,4.58,28.70,6.25,50.00,41.18,36.07,6.99,0.2
1,20231021,5,鳴門,2,4904,松本一毅,29,大阪,52,B1,5.25,30.99,5.12,28.00,37.70,27.43,6.99,0.2
2,20231021,5,鳴門,3,4207,松下一也,40,静岡,54,A1,5.98,48.94,0.00,0.00,35.94,29.06,6.99,0.2
3,20231021,5,鳴門,4,3307,上瀧和則,55,佐賀,53,A2,5.93,43.68,6.04,52.17,27.64,42.31,6.99,0.2
4,20231021,5,鳴門,5,4251,川崎誠志,40,山口,52,B1,4.90,33.33,4.08,20.00,45.24,32.79,6.99,0.2
5,20231021,5,鳴門,6,3543,福田雅一,55,香川,53,A2,6.02,43.16,5.77,42.47,32.81,33.86,6.99,0.2
0,20231021,6,鳴門,1,3950,石川哲秀,47,大阪,54,B1,4.26,27.17,4.58,21.05,34.92,21.43,6.99,0.2
1,20231021,6,鳴門,2,3333,丸尾義孝,55,徳島,52,A2,6.33,50.75,6.13,44.50,38.10,38.64,6.99,0.2
2,20231021,6,鳴門,3,5192,中尾優香,22,福岡,49,B1,2.88,11.46,1.81,0.00,24.79,28.21,6.99,0.2
3,20231021,6,鳴門,4,3975,小野寺智,46,香川,52,A2,5.79,40.71,5.71,30.65,38.97,27.59,6.99,0.2
4,20231021,6,鳴門,5,5171,清水未唯,22,滋賀,53,B1,3.91,19.57,3.55,14.89,34.43,36.43,6.99,0.2
5,20231021,6,鳴門,6,3961,谷村一哉,44,山口,57,A1,6.62,45.00,5.95,40.00,45.60,35.38,6.99,0.2
0,20231021,7,鳴門,1,4196,田中太一,41,佐賀,52,B1,4.22,23.40,4.38,26.67,29.60,31.15,6.99,0.2
1,20231021,7,鳴門,2,3871,池田紫乃,47,長崎,43,A2,5.11,32.95,5.00,25.00,26.98,34.85,6.99,0.2
2,20231021,7,鳴門,3,4986,西山祐希,26,兵庫,53,B1,3.75,17.50,3.43,14.29,33.33,40.60,6.99,0.2
3,20231021,7,鳴門,4,4052,興津藍,42,徳島,50,A1,5.91,43.20,6.81,56.65,38.21,27.19,6.99,0.2
4,20231021,7,鳴門,5,4360,庄司孝輔,39,静岡,54,B1,5.46,37.50,0.00,0.00,43.65,41.41,6.99,0.2
5,20231021,7,鳴門,6,3802,森岡まき,49,岡山,49,B1,4.45,25.00,5.47,41.18,30.97,29.09,6.99,0.2
0,20231021,8,鳴門,1,4100,松田隆司,44,福岡,53,B1,5.64,37.84,6.30,48.84,36.92,38.64,6.99,0.2
1,20231021,8,鳴門,2,3304,烏野賢太,55,徳島,52,A2,5.76,38.79,6.25,43.81,37.29,34.68,6.99,0.2
2,20231021,8,鳴門,3,3501,川上昇平,54,長崎,54,B1,4.50,19.57,4.72,27.78,33.07,35.34,6.99,0.2
3,20231021,8,鳴門,4,3998,冨成謙児,44,佐賀,53,B1,4.37,28.16,5.30,36.17,24.60,28.45,6.99,0.2
4,20231021,8,鳴門,5,4672,守屋大地,37,岡山,51,B1,4.18,21.57,5.00,36.67,38.89,27.12,6.99,0.2
5,20231021,8,鳴門,6,4324,海野康志,35,山口,61,A1,6.43,45.71,6.15,53.85,27.56,34.35,6.99,0.2
0,20231021,9,鳴門,1,4333,村田友也,39,徳島,64,B1,4.32,27.45,4.58,26.62,33.33,41.41,6.99,0.2
1,20231021,9,鳴門,2,5069,山崎小葉,23,群馬,43,B1,4.51,29.27,3.47,5.88,29.23,34.85,6.99,0.2
2,20231021,9,鳴門,3,4462,夏山亮平,37,大阪,58,A2,5.36,31.90,4.75,30.00,35.65,26.32,6.99,0.2
3,20231021,9,鳴門,4,4054,福嶋智之,45,岡山,51,B1,4.58,28.70,6.25,50.00,41.18,36.07,6.99,0.2
4,20231021,9,鳴門,5,3349,吉田一郎,55,長崎,51,A2,5.40,34.68,6.84,57.89,33.87,31.30,6.99,0.2
5,20231021,9,鳴門,6,3347,矢後剛,56,東京,56,A2,4.81,21.01,0.00,0.00,34.71,33.33,6.99,0.2
0,20231021,10,鳴門,1,3641,一瀬明,52,東京,52,A2,6.13,45.73,7.24,56.00,35.19,20.34,6.99,0.2
1,20231021,10,鳴門,2,4790,柳内敬太,34,兵庫,52,A2,5.89,44.27,6.05,45.24,32.09,30.25,6.99,0.2
2,20231021,10,鳴門,3,4733,赤井睦,34,徳島,47,B2,4.65,33.87,4.52,31.15,28.80,43.08,6.99,0.2
3,20231021,10,鳴門,4,4607,鶴田勇雄,34,福岡,52,B1,5.95,37.07,4.80,33.33,40.65,38.58,6.99,0.2
4,20231021,10,鳴門,5,4840,鈴木秀茉,32,静岡,51,B1,4.16,25.00,0.00,0.00,30.65,34.48,6.99,0.2
5,20231021,10,鳴門,6,3333,丸尾義孝,55,徳島,52,A2,6.33,50.75,6.13,44.50,38.10,38.64,6.99,0.2
0,20231021,11,鳴門,1,3307,上瀧和則,55,佐賀,53,A2,5.93,43.68,6.04,52.17,27.64,42.31,6.99,0.2
1,20231021,11,鳴門,2,3975,小野寺智,46,香川,52,A2,5.79,40.71,5.71,30.65,38.97,27.59,6.99,0.2
2,20231021,11,鳴門,3,4122,安東幸治,41,福岡,55,A2,5.97,41.61,5.41,35.29,39.20,22.81,6.99,0.2
3,20231021,11,鳴門,4,4057,松井賢治,44,兵庫,52,A1,5.81,37.86,6.03,45.00,41.27,45.16,6.99,0.2
4,20231021,11,鳴門,5,3871,池田紫乃,47,長崎,43,A2,5.11,32.95,5.00,25.00,26.98,34.85,6.99,0.2
5,20231021,11,鳴門,6,4762,藤原啓史,33,岡山,49,A1,7.42,53.33,6.93,64.29,38.02,33.86,6.99,0.2
0,20231021,12,鳴門,1,4052,興津藍,42,徳島,50,A1,5.91,43.20,6.81,56.65,38.21,27.19,6.99,0.2
1,20231021,12,鳴門,2,3961,谷村一哉,44,山口,57,A1,6.62,45.00,5.95,40.00,45.60,35.38,6.99,0.2
2,20231021,12,鳴門,3,3788,一宮稔弘,52,徳島,53,A1,5.84,35.90,6.50,49.59,31.09,34.15,6.99,0.2
3,20231021,12,鳴門,4,4324,海野康志,35,山口,61,A1,6.43,45.71,6.15,53.85,27.56,34.35,6.99,0.2
4,20231021,12,鳴門,5,4069,山本修一,43,岡山,53,A1,6.71,49.00,6.89,55.56,45.90,25.66,6.99,0.2
5,20231021,12,鳴門,6,4207,松下一也,40,静岡,54,A1,5.98,48.94,0.00,0.00,35.94,29.06,6.99,0.2
0,20231021,1,三国,1,3841,佐々木和,47,徳島,55,A1,6.09,45.61,6.72,48.28,34.75,38.73,6.99,0.2
1,20231021,1,三国,2,4285,伴将典,39,愛知,66,B2,3.68,12.82,3.30,9.99,29.94,27.78,6.99,0.2
2,20231021,1,三国,3,5114,小林孝彰,23,福井,53,B1,4.48,24.39,3.46,14.87,30.46,31.72,6.99,0.2
3,20231021,1,三国,4,3491,富永茂,55,福岡,52,B1,3.47,12.22,4.83,33.33,23.81,23.24,6.99,0.2
4,20231021,1,三国,5,5159,笠間憲哉,25,愛知,50,B1,2.27,5.81,1.66,0.00,42.36,32.39,6.99,0.2
5,20231021,1,三国,6,5187,小坂風太,23,福井,52,B2,4.49,22.83,4.07,22.86,41.10,38.13,6.99,0.2
0,20231021,2,三国,1,4259,真庭明志,39,長崎,52,A2,5.96,37.50,4.56,16.67,25.58,30.77,6.99,0.2
1,20231021,2,三国,2,4930,佐藤悠,27,福井,53,A2,4.48,26.53,5.78,39.76,23.53,26.06,6.99,0.2
2,20231021,2,三国,3,4693,松下誉士,39,福岡,53,B1,4.06,18.00,5.05,31.58,35.48,39.13,6.99,0.2
3,20231021,2,三国,4,3591,後藤孝義,55,静岡,52,B1,3.24,9.20,4.60,25.00,30.83,38.36,6.99,0.2
4,20231021,2,三国,5,5177,松井貫太,27,福岡,51,B1,2.93,10.10,2.33,11.11,26.76,40.97,6.99,0.2
5,20231021,2,三国,6,4711,前出達吉,33,福井,52,B1,6.13,45.92,5.58,36.00,26.71,40.14,6.99,0.2
0,20231021,3,三国,1,4793,金子萌,33,静岡,52,A2,6.55,51.24,5.14,34.09,30.60,30.43,6.99,0.2
1,20231021,3,三国,2,3448,高山秀雄,53,群馬,53,B1,4.46,26.17,4.26,15.79,37.93,25.55,6.99,0.2
2,20231021,3,三国,3,4472,尾嶋一広,36,兵庫,56,A1,6.79,51.03,6.63,48.57,48.09,32.62,6.99,0.2
3,20231021,3,三国,4,4405,南野利騰,38,福井,53,B1,4.20,17.39,4.59,23.89,35.42,37.67,6.99,0.2
4,20231021,3,三国,5,5150,坂本雄紀,28,群馬,53,B1,5.15,32.05,3.41,14.81,32.06,36.81,6.99,0.2
5,20231021,3,三国,6,5147,田中勇輔,29,埼玉,52,B1,4.23,21.52,0.00,0.00,23.08,38.13,6.99,0.2
0,20231021,4,三国,1,4587,木田峰由,32,福井,54,A2,4.86,27.64,5.83,38.85,31.37,30.00,6.99,0.2
1,20231021,4,三国,2,4766,石井孝之,32,群馬,56,B1,4.58,26.53,4.46,32.43,35.53,39.86,6.99,0.2
2,20231021,4,三国,3,4487,三原司,37,福岡,53,B1,3.93,16.84,3.92,16.00,33.33,29.37,6.99,0.2
3,20231021,4,三国,4,4718,北川太一,30,佐賀,52,A1,6.10,42.50,5.20,40.00,41.43,42.14,6.99,0.2
4,20231021,4,三国,5,4139,丹下健,42,愛知,55,B1,4.85,29.73,4.14,28.57,25.19,31.91,6.99,0.2
5,20231021,4,三国,6,3838,伊藤啓三,48,埼玉,53,A2,5.71,36.52,5.89,38.89,29.53,32.62,6.99,0.2
0,20231021,5,三国,1,4558,宮野仁,33,岡山,53,B1,5.73,37.11,3.94,17.65,25.41,33.57,6.99,0.2
1,20231021,5,三国,2,4197,渥美卓郎,41,静岡,54,B1,3.63,10.89,3.67,11.90,32.84,35.46,6.99,0.2
2,20231021,5,三国,3,3491,富永茂,55,福岡,52,B1,3.47,12.22,4.83,33.33,23.81,23.24,6.99,0.2
3,20231021,5,三国,4,4748,渡邉雄朗,37,東京,53,A2,5.96,46.55,5.56,44.44,33.80,32.37,6.99,0.2
4,20231021,5,三国,5,3957,大谷直弘,46,愛知,55,A2,4.74,26.98,5.07,29.63,53.72,29.29,6.99,0.2
5,20231021,5,三国,6,4236,松村敏,40,福岡,55,A1,7.34,56.93,7.00,54.55,30.50,30.28,6.99,0.2
0,20231021,6,三国,1,5221,竹間隆晟,22,大阪,54,B1,5.68,40.91,4.44,25.00,29.37,33.33,6.99,0.2
1,20231021,6,三国,2,3912,川原正明,49,福井,52,B1,4.45,25.81,5.26,37.37,38.28,37.59,6.99,0.2
2,20231021,6,三国,3,3591,後藤孝義,55,静岡,52,B1,3.24,9.20,4.60,25.00,30.83,38.36,6.99,0.2
3,20231021,6,三国,4,4259,真庭明志,39,長崎,52,A2,5.96,37.50,4.56,16.67,25.58,30.77,6.99,0.2
4,20231021,6,三国,5,3968,茶谷信次,47,滋賀,55,A2,5.35,29.41,5.69,36.54,34.87,30.99,6.99,0.2
